PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Victor Wembanyama,SAS,46,1527,52,176,1.225933202357564,4.149312377210216,5.37524557956778
Paul Reed,DET,45,438,39,25,3.2054794520547945,2.054794520547945,5.260273972602739
Robert Williams III,POR,20,351,13,33,1.3333333333333333,3.3846153846153846,4.717948717948718
Jonathan Isaac,ORL,71,1090,61,80,2.014678899082569,2.6422018348623855,4.656880733944954
Charles Bassey,SAS,36,376,14,30,1.3404255319148937,2.872340425531915,4.212765957446809
Mouhamed Gueye,ATL,33,533,28,33,1.8911819887429644,2.2288930581613506,4.120075046904315
Alex Caruso,OKC,54,1041,87,30,3.0086455331412103,1.037463976945245,4.046109510086455
Dyson Daniels,ATL,76,2571,229,55,3.206534422403734,0.7701283547257876,3.9766627771295218
Donovan Clingan,POR,67,1324,34,110,0.9244712990936557,2.990936555891239,3.9154078549848945
Chet Holmgren,OKC,32,877,23,71,0.9441277080957811,2.9144811858608897,3.8586088939566707
Josh Okogie,CHA,40,625,48,18,2.7647999999999997,1.0368,3.8015999999999996
Adem Bona,PHI,58,905,26,69,1.0342541436464088,2.74475138121547,3.7790055248618786
Ausar Thompson,DET,59,1328,98,40,2.6566265060240966,1.0843373493975903,3.740963855421687
Zeke Nnaji,DEN,57,608,25,38,1.480263157894737,2.25,3.730263157894737
Tari Eason,HOU,57,1420,97,50,2.459154929577465,1.267605633802817,3.726760563380282
Goga Bitadze,ORL,70,1429,49,98,1.2344296710986704,2.468859342197341,3.7032890132960112
Daniel Gafford,DAL,57,1226,23,102,0.6753670473083198,2.99510603588907,3.6704730831973897
Walker Kessler,UTA,58,1740,36,138,0.7448275862068965,2.855172413793104,3.6000000000000005
Anthony Davis,DAL,51,1705,59,110,1.2457478005865104,2.32258064516129,3.5683284457478006
Mo Bamba,NOP,32,413,9,31,0.784503631961259,2.702179176755448,3.486682808716707
Jay Huff,MEM,64,748,16,56,0.7700534759358288,2.6951871657754007,3.4652406417112296
Trevelin Queen,ORL,31,430,31,10,2.5953488372093023,0.8372093023255813,3.4325581395348834
Keon Ellis,SAC,80,1948,121,63,2.2361396303901437,1.164271047227926,3.40041067761807
Jaren Jackson Jr.,MEM,74,2207,92,113,1.500679655641142,1.84322609877662,3.343905754417762
Day'Ron Sharpe,BKN,50,907,41,42,1.627342888643881,1.667034178610805,3.294377067254686
Dereck Lively II,DAL,36,833,20,56,0.8643457382953181,2.4201680672268906,3.2845138055222085
Myles Turner,IND,72,2174,54,144,0.8942042318307267,2.3845446182152714,3.2787488500459983
Isaiah Stewart,DET,72,1434,28,101,0.702928870292887,2.5355648535564854,3.2384937238493725
Kris Dunn,LAC,74,1783,128,27,2.584408300616938,0.5451486259113852,3.129556926528323
Nic Claxton,BKN,70,1882,62,100,1.185972369819341,1.9128586609989373,3.0988310308182783
Zach Edey,MEM,66,1416,36,85,0.9152542372881356,2.1610169491525424,3.076271186440678
Draymond Green,GSW,68,1983,99,70,1.7972768532526475,1.2708018154311649,3.068078668683812
Peyton Watson,DEN,68,1656,48,93,1.0434782608695652,2.0217391304347827,3.0652173913043477
Jalen Suggs,ORL,35,1002,51,33,1.8323353293413174,1.18562874251497,3.0179640718562872
Amen Thompson,HOU,69,2225,97,89,1.569438202247191,1.44,3.009438202247191
Cason Wallace,OKC,68,1876,120,35,2.3027718550106613,0.6716417910447761,2.9744136460554373
Lonzo Ball,CHI,35,777,47,17,2.1776061776061777,0.7876447876447876,2.9652509652509655
Jakob Poeltl,TOR,57,1686,66,71,1.4092526690391458,1.516014234875445,2.925266903914591
Kai Jones,DAL,40,468,15,23,1.1538461538461537,1.7692307692307692,2.923076923076923
Evan Mobley,CLE,71,2167,61,113,1.0133825565297647,1.8772496538994001,2.890632210429165
Shai Gilgeous-Alexander,OKC,76,2598,131,77,1.8152424942263279,1.0669745958429562,2.8822170900692843
Alex Sarr,WAS,67,1814,44,101,0.8732083792723263,2.0044101433296584,2.877618522601985
Karlo Matković,NOP,42,791,22,41,1.0012642225031605,1.865992414664981,2.8672566371681416
