PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Victor Wembanyama,SAS,46,1527,52,176,1.225933202357564,4.149312377210216,5.37524557956778
Paul Reed,DET,45,438,39,25,3.2054794520547945,2.054794520547945,5.260273972602739
Robert Williams III,POR,20,351,13,33,1.3333333333333333,3.3846153846153846,4.717948717948718
Jonathan Isaac,ORL,71,1090,61,80,2.014678899082569,2.6422018348623855,4.656880733944954
Charles Bassey,SAS,36,376,14,30,1.3404255319148937,2.872340425531915,4.212765957446809
Mouhamed Gueye,ATL,33,533,28,33,1.8911819887429644,2.2288930581613506,4.120075046904315
Alex Caruso,OKC,54,1041,87,30,3.0086455331412103,1.037463976945245,4.046109510086455
Dyson Daniels,ATL,76,2571,229,55,3.206534422403734,0.7701283547257876,3.9766627771295218
Donovan Clingan,POR,67,1324,34,110,0.9244712990936557,2.990936555891239,3.9154078549848945
Chet Holmgren,OKC,32,877,23,71,0.9441277080957811,2.9144811858608897,3.8586088939566707
Josh Okogie,CHA,40,625,48,18,2.7647999999999997,1.0368,3.8015999999999996
Adem Bona,PHI,58,905,26,69,1.0342541436464088,2.74475138121547,3.7790055248618786
Ausar Thompson,DET,59,1328,98,40,2.6566265060240966,1.0843373493975903,3.740963855421687
Zeke Nnaji,DEN,57,608,25,38,1.480263157894737,2.25,3.730263157894737
Tari Eason,HOU,57,1420,97,50,2.459154929577465,1.267605633802817,3.726760563380282
