PLAYER,TEAM,GP,MIN,STL,BLK,PF,STL_per36,BLK_per36,PF_per36,Hustle_per36,Discipline_Hustle_Index
Victor Wembanyama,SAS,46,1527,52,176,105,1.225933202357564,4.149312377210216,2.4754420432220043,5.37524557956778,2.1714285714285713
Delon Wright,NYK,40,635,35,12,25,1.984251968503937,0.6803149606299213,1.4173228346456692,2.6645669291338585,1.8800000000000003
Jimmy Butler III,GSW,55,1746,77,18,52,1.5876288659793816,0.3711340206185567,1.0721649484536082,1.9587628865979383,1.826923076923077
Anthony Davis,DAL,51,1705,59,110,98,1.2457478005865104,2.32258064516129,2.069208211143695,3.5683284457478006,1.7244897959183674
Bol Bol,PHX,36,448,9,25,20,0.7232142857142858,2.0089285714285716,1.6071428571428572,2.7321428571428577,1.7000000000000002
Tyrese Haliburton,IND,73,2450,105,49,92,1.542857142857143,0.72,1.3518367346938776,2.262857142857143,1.673913043478261
Dyson Daniels,ATL,76,2571,229,55,175,3.206534422403734,0.7701283547257876,2.4504084014002334,3.9766627771295218,1.622857142857143
Jonathan Isaac,ORL,71,1090,61,80,90,2.014678899082569,2.6422018348623855,2.9724770642201834,4.656880733944954,1.5666666666666667
Robert Williams III,POR,20,351,13,33,31,1.3333333333333333,3.3846153846153846,3.1794871794871793,4.717948717948718,1.4838709677419357
Josh Okogie,CHA,40,625,48,18,47,2.7647999999999997,1.0368,2.7072000000000003,3.8015999999999996,1.404255319148936
Scottie Barnes,TOR,65,2134,93,63,113,1.5688847235238987,1.062792877225867,1.9062792877225867,2.6316776007497658,1.3805309734513274
John Konchar,MEM,46,558,30,14,32,1.935483870967742,0.903225806451613,2.064516129032258,2.838709677419355,1.375
Jalen Johnson,ATL,36,1284,56,36,67,1.5700934579439252,1.0093457943925233,1.8785046728971961,2.5794392523364484,1.373134328358209
Kawhi Leonard,LAC,37,1180,59,17,56,1.8,0.5186440677966102,1.7084745762711866,2.31864406779661,1.357142857142857
Walker Kessler,UTA,58,1740,36,138,130,0.7448275862068965,2.855172413793104,2.689655172413793,3.6000000000000005,1.3384615384615386
