PLAYER,TEAM,GP,MIN,STL,BLK,PF,STL_per36,BLK_per36,PF_per36,Hustle_per36,Discipline_Hustle_Index
Doug McDermott,SAC,42,342,4,2,30,0.42105263157894735,0.21052631578947367,3.1578947368421053,0.631578947368421,0.19999999999999998
Georges Niang,ATL,79,1697,28,14,201,0.5939893930465527,0.29699469652327637,4.263995285798468,0.8909840895698291,0.208955223880597
Jalen Wilson,BKN,79,2031,40,5,164,0.7090103397341212,0.08862629246676515,2.9069423929098965,0.7976366322008863,0.27439024390243905
AJ Green,MIL,73,1659,37,7,157,0.8028933092224232,0.15189873417721517,3.406871609403255,0.9547920433996384,0.2802547770700637
Nick Smith Jr.,CHA,60,1369,17,6,79,0.44704163623082543,0.15777940102264426,2.077428780131483,0.6048210372534697,0.2911392405063291
Jamison Battle,TOR,59,1042,17,10,92,0.5873320537428023,0.345489443378119,3.1785028790786947,0.9328214971209212,0.2934782608695652
AJ Johnson,WAS,29,638,12,3,50,0.677115987460815,0.16927899686520376,2.8213166144200628,0.8463949843260188,0.3
Jeff Green,HOU,32,396,6,4,32,0.5454545454545454,0.36363636363636365,2.909090909090909,0.9090909090909091,0.3125
Dillon Brooks,HOU,75,2388,60,16,242,0.9045226130653267,0.24120603015075376,3.648241206030151,1.1457286432160805,0.3140495867768595
Jaylon Tyson,CLE,47,453,13,3,50,1.033112582781457,0.23841059602649006,3.9735099337748343,1.2715231788079469,0.31999999999999995
Domantas Sabonis,SAC,70,2429,48,26,229,0.7114038699053108,0.3853437628653767,3.3939892960065867,1.0967476327706875,0.3231441048034935
Orlando Robinson,TOR,44,770,17,16,100,0.7948051948051948,0.7480519480519481,4.675324675324675,1.542857142857143,0.33
Vasilije Micic,PHX,41,785,15,0,45,0.6878980891719745,0.0,2.0636942675159236,0.6878980891719745,0.3333333333333333
Duncan Robinson,MIA,74,1786,40,6,135,0.8062709966405375,0.12094064949608062,2.721164613661814,0.9272116461366181,0.34074074074074073
Dalton Knecht,LAL,78,1494,24,8,93,0.5783132530120482,0.19277108433734938,2.2409638554216866,0.7710843373493975,0.3440860215053763
