PLAYER,TEAM,GP,MIN,EFF_total_calc,EFF_per_game_calc,EFF_per36_calc,EFF
Nikola Jokić,DEN,70,2571,2953,42.1857142857143,41.34889148191366,2953
Giannis Antetokounmpo,MIL,67,2289,2400,35.820895522388064,37.745740498034074,2400
Shai Gilgeous-Alexander,OKC,76,2598,2510,33.026315789473685,34.78060046189376,2510
Domantas Sabonis,SAC,70,2429,2167,30.957142857142863,32.116920543433515,2167
Anthony Davis,DAL,51,1705,1565,30.686274509803926,33.043988269794724,1565
Karl-Anthony Towns,NYK,72,2517,2184,30.33333333333334,31.237187127532785,2184
Victor Wembanyama,SAS,46,1527,1389,30.195652173913047,32.74656188605108,1389
Luka Dončić,LAL,50,1769,1481,29.620000000000005,30.139061616732615,1481
LeBron James,LAL,70,2444,1989,28.414285714285718,29.29787234042553,1989
Jayson Tatum,BOS,72,2624,2006,27.861111111111118,27.521341463414632,2006
Ivica Zubac,LAC,80,2624,2152,26.9,29.524390243902435,2152
Cade Cunningham,DET,70,2452,1878,26.828571428571436,27.572593800978797,1878
Kevin Durant,PHX,62,2265,1631,26.30645161290323,25.92317880794702,1631
Zion Williamson,NOP,30,857,783,26.099999999999994,32.89148191365228,783
Damian Lillard,MIL,58,2093,1468,25.3103448275862,25.249880554228383,1468
Jalen Johnson,ATL,36,1284,903,25.08333333333333,25.317757009345787,903
Nikola Vučević,CHI,73,2278,1817,24.890410958904106,28.714661984196667,1817
Evan Mobley,CLE,71,2167,1745,24.577464788732392,28.989386248269494,1745
James Harden,LAC,79,2789,1940,24.556962025316448,25.04123341699534,1940
Alperen Sengun,HOU,76,2395,1852,24.36842105263158,27.83799582463465,1852
Anthony Edwards,MIN,79,2871,1907,24.139240506329113,23.912225705329153,1907
Tyrese Haliburton,IND,73,2450,1761,24.123287671232877,25.87591836734694,1761
Devin Booker,PHX,75,2795,1803,24.039999999999996,23.22289803220036,1803
Jalen Brunson,NYK,65,2301,1561,24.015384615384612,24.422425032594525,1561
Trae Young,ATL,76,2739,1825,24.013157894736835,23.986856516977,1825
Josh Hart,NYK,77,2897,1817,23.5974025974026,22.579219882637208,1817
Bam Adebayo,MIA,78,2674,1836,23.538461538461537,24.718025430067314,1836
Stephen Curry,GSW,70,2252,1645,23.500000000000007,26.29662522202487,1645
Mark Williams,CHA,44,1171,1033,23.477272727272723,31.75747224594364,1033
Paolo Banchero,ORL,46,1582,1079,23.456521739130434,24.55372945638433,1079
Kyrie Irving,DAL,50,1804,1167,23.340000000000003,23.28824833702883,1167
Tyler Herro,MIA,77,2725,1784,23.16883116883116,23.56844036697248,1784
Tyrese Maxey,PHI,52,1960,1199,23.057692307692307,22.022448979591836,1199
Franz Wagner,ORL,60,2023,1369,22.81666666666666,24.361838853188335,1369
De'Aaron Fox,SAS,62,2241,1412,22.774193548387096,22.682730923694766,1412
Walker Kessler,UTA,58,1740,1319,22.741379310344826,27.289655172413795,1319
Jakob Poeltl,TOR,57,1686,1292,22.666666666666675,27.58718861209964,1292
Jalen Williams,OKC,69,2237,1554,22.521739130434785,25.008493518104604,1554
Jarrett Allen,CLE,82,2296,1846,22.51219512195122,28.944250871080143,1846
Pascal Siakam,IND,78,2548,1733,22.21794871794872,24.485086342229202,1733
Jimmy Butler III,GSW,55,1746,1221,22.200000000000003,25.175257731958762,1221
Scottie Barnes,TOR,65,2134,1440,22.15384615384615,24.292408622305537,1440
Rudy Gobert,MIN,72,2388,1591,22.097222222222225,23.984924623115578,1591
Josh Giddey,CHI,70,2117,1542,22.028571428571425,26.222012281530468,1542
Jamal Murray,DEN,67,2418,1468,21.91044776119403,21.856079404466502,1468
LaMelo Ball,CHA,47,1505,1029,21.8936170212766,24.613953488372097,1029
Desmond Bane,ORL,69,2205,1507,21.84057971014493,24.604081632653063,1507
Isaiah Hartenstein,OKC,57,1590,1241,21.771929824561397,28.098113207547172,1241
Jalen Duren,DET,78,2034,1693,21.705128205128208,29.964601769911503,1693
Donovan Mitchell,CLE,71,2232,1541,21.70422535211268,24.854838709677413,1541
John Collins,UTA,40,1221,865,21.625000000000004,25.50368550368551,865
Kawhi Leonard,LAC,37,1180,799,21.594594594594593,24.376271186440675,799
Ja Morant,MEM,50,1519,1075,21.5,25.477287689269257,1075
Kristaps Porziņģis,BOS,42,1210,895,21.309523809523807,26.628099173553714,895
Austin Reaves,LAL,73,2550,1546,21.178082191780824,21.82588235294118,1546
Amen Thompson,HOU,69,2225,1460,21.159420289855078,23.622471910112356,1460
Zach LaVine,SAC,74,2603,1563,21.121621621621625,21.616596235113335,1563
Jaren Jackson Jr.,MEM,74,2207,1550,20.945945945945947,25.283189850475758,1550
Miles Bridges,CHA,64,2029,1329,20.765625,23.580088713652042,1329
Jaylen Brown,BOS,63,2158,1306,20.730158730158728,21.78683966635774,1306
DeMar DeRozan,SAC,77,2768,1592,20.67532467532467,20.705202312138724,1592
Deandre Ayton,POR,40,1206,824,20.6,24.597014925373134,824
Trey Murphy III,NOP,53,1854,1088,20.528301886792455,21.126213592233015,1088
Julius Randle,MIN,69,2226,1416,20.52173913043479,22.900269541778975,1416
Onyeka Okongwu,ATL,74,2064,1515,20.472972972972972,26.424418604651166,1515
Darius Garland,CLE,75,2301,1526,20.346666666666668,23.8748370273794,1526
RJ Barrett,TOR,58,1869,1164,20.068965517241384,22.42054574638845,1164
Dejounte Murray,NOP,31,1012,617,19.90322580645162,21.94861660079051,617
Michael Porter Jr.,DEN,77,2593,1522,19.766233766233764,21.130736598534515,1522
Chet Holmgren,OKC,32,877,630,19.6875,25.860889395667044,630
Deni Avdija,POR,72,2161,1408,19.555555555555557,23.45580749652939,1408
Dyson Daniels,ATL,76,2571,1459,19.19736842105263,20.429404900816802,1459
Christian Braun,DEN,79,2675,1492,18.88607594936709,20.079252336448597,1492
Cameron Johnson,BKN,57,1800,1074,18.842105263157894,21.479999999999993,1074
Coby White,CHI,74,2450,1377,18.60810810810811,20.2334693877551,1377
Derrick White,BOS,76,2574,1410,18.55263157894737,19.72027972027972,1410
Daniel Gafford,DAL,57,1226,1047,18.36842105263158,30.743882544861343,1047
Cam Thomas,BKN,25,781,458,18.32,21.111395646606915,458
OG Anunoby,NYK,74,2706,1346,18.189189189189193,17.90687361419069,1346
Myles Turner,IND,72,2174,1302,18.083333333333336,21.56025758969641,1302
Bobby Portis,MIL,49,1244,869,17.734693877551024,25.147909967845663,869
