PLAYER,TEAM,GP,MIN,EFF_per36_calc
Nikola Jokić,DEN,70,2571,41.34889148191366
Giannis Antetokounmpo,MIL,67,2289,37.745740498034074
Shai Gilgeous-Alexander,OKC,76,2598,34.78060046189376
Anthony Davis,DAL,51,1705,33.043988269794724
Zion Williamson,NOP,30,857,32.89148191365228
Victor Wembanyama,SAS,46,1527,32.74656188605108
Domantas Sabonis,SAC,70,2429,32.116920543433515
Mark Williams,CHA,44,1171,31.75747224594364
Karl-Anthony Towns,NYK,72,2517,31.237187127532785
Daniel Gafford,DAL,57,1226,30.743882544861343
Jonas Valančiūnas,SAC,81,1524,30.590551181102374
Luka Dončić,LAL,50,1769,30.139061616732615
Jalen Duren,DET,78,2034,29.964601769911503
Ivica Zubac,LAC,80,2624,29.524390243902435
LeBron James,LAL,70,2444,29.29787234042553
Evan Mobley,CLE,71,2167,28.989386248269494
Jarrett Allen,CLE,82,2296,28.944250871080143
Nikola Vučević,CHI,73,2278,28.714661984196667
Isaiah Hartenstein,OKC,57,1590,28.098113207547172
Alperen Sengun,HOU,76,2395,27.83799582463465
