PLAYER,TEAM,GP,MIN,EFF_per_game_calc
Nikola Jokić,DEN,70,2571,42.1857142857143
Giannis Antetokounmpo,MIL,67,2289,35.820895522388064
Shai Gilgeous-Alexander,OKC,76,2598,33.026315789473685
Domantas Sabonis,SAC,70,2429,30.957142857142863
Anthony Davis,DAL,51,1705,30.686274509803926
Karl-Anthony Towns,NYK,72,2517,30.33333333333334
Victor Wembanyama,SAS,46,1527,30.195652173913047
Luka Dončić,LAL,50,1769,29.620000000000005
LeBron James,LAL,70,2444,28.414285714285718
Jayson Tatum,BOS,72,2624,27.861111111111118
Ivica Zubac,LAC,80,2624,26.9
Cade Cunningham,DET,70,2452,26.828571428571436
Kevin Durant,PHX,62,2265,26.30645161290323
Zion Williamson,NOP,30,857,26.099999999999994
Damian Lillard,MIL,58,2093,25.3103448275862
Jalen Johnson,ATL,36,1284,25.08333333333333
Nikola Vučević,CHI,73,2278,24.890410958904106
Evan Mobley,CLE,71,2167,24.577464788732392
James Harden,LAC,79,2789,24.556962025316448
Alperen Sengun,HOU,76,2395,24.36842105263158
