PLAYER,TEAM,GP,MIN,EFF
Nikola Jokić,DEN,70,2571,2953
Shai Gilgeous-Alexander,OKC,76,2598,2510
Giannis Antetokounmpo,MIL,67,2289,2400
Karl-Anthony Towns,NYK,72,2517,2184
Domantas Sabonis,SAC,70,2429,2167
Ivica Zubac,LAC,80,2624,2152
Jayson Tatum,BOS,72,2624,2006
LeBron James,LAL,70,2444,1989
James Harden,LAC,79,2789,1940
Anthony Edwards,MIN,79,2871,1907
Cade Cunningham,DET,70,2452,1878
Alperen Sengun,HOU,76,2395,1852
Jarrett Allen,CLE,82,2296,1846
Bam Adebayo,MIA,78,2674,1836
Trae Young,ATL,76,2739,1825
Nikola Vučević,CHI,73,2278,1817
Josh Hart,NYK,77,2897,1817
Devin Booker,PHX,75,2795,1803
Tyler Herro,MIA,77,2725,1784
Tyrese Haliburton,IND,73,2450,1761
