PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
Shai Gilgeous-Alexander,OKC,76,2598,2484,1656,669,25.66263157894737,27.02577367205543,24.083751531196903
LaMelo Ball,CHA,47,1505,1184,1003,229,23.484255319148936,26.402232558139534,15.786312122061592
Zion Williamson,NOP,30,857,737,508,241,20.468,25.793978996499416,8.039614123660588
Giannis Antetokounmpo,MIL,67,2289,2036,1319,707,24.32955223880597,25.63690694626474,19.51191485083095
Paolo Banchero,ORL,46,1582,1191,911,385,23.48695652173913,24.58558786346397,13.86870683679495
Luka Dončić,LAL,50,1769,1408,1025,395,23.976,24.396156020350478,16.67362096303096
Ja Morant,MEM,50,1519,1159,889,319,20.587200000000003,24.395628703094147,13.076950439303012
Cam Thomas,BKN,25,781,599,454,151,20.817600000000002,23.98955185659411,7.496327024457697
Donovan Mitchell,CLE,71,2232,1701,1320,362,20.834929577464788,23.859354838709677,17.95486765191385
Cade Cunningham,DET,70,2452,1830,1457,370,23.14,23.781729200652528,18.198037065664828
Franz Wagner,ORL,60,2023,1449,1161,311,21.630666666666666,23.095521502718732,16.659906035788556
Anthony Edwards,MIN,79,2871,2177,1612,496,23.16759493670886,22.949717868338556,23.780592383932145
Jayson Tatum,BOS,72,2624,1932,1465,440,23.03611111111111,22.755182926829267,20.922264943033312
Jaren Jackson Jr.,MEM,74,2207,1641,1213,398,18.758378378378378,22.642646125962845,17.63462388649772
Anthony Davis,DAL,51,1705,1261,910,369,21.02666666666667,22.642205278592378,12.722932505671197
