PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
Shai Gilgeous-Alexander,OKC,76,2598,2484,1656,669,25.66263157894737,27.02577367205543,24.083751531196903
Giannis Antetokounmpo,MIL,67,2289,2036,1319,707,24.32955223880597,25.63690694626474,19.51191485083095
Luka Dončić,LAL,50,1769,1408,1025,395,23.976,24.396156020350478,16.67362096303096
Paolo Banchero,ORL,46,1582,1191,911,385,23.48695652173913,24.58558786346397,13.86870683679495
LaMelo Ball,CHA,47,1505,1184,1003,229,23.484255319148936,26.402232558139534,15.786312122061592
Tyrese Maxey,PHI,52,1960,1369,1091,289,23.42615384615385,22.374367346938776,16.47818888179467
Anthony Edwards,MIN,79,2871,2177,1612,496,23.16759493670886,22.949717868338556,23.780592383932145
Cade Cunningham,DET,70,2452,1830,1457,370,23.14,23.781729200652528,18.198037065664828
Jayson Tatum,BOS,72,2624,1932,1465,440,23.03611111111111,22.755182926829267,20.922264943033312
Nikola Jokić,DEN,70,2571,2071,1364,451,22.32057142857143,21.877806301050175,19.51167123725605
Devin Booker,PHX,75,2795,1923,1420,483,21.766933333333334,21.027091234347047,20.16532274002925
Franz Wagner,ORL,60,2023,1449,1161,311,21.630666666666666,23.095521502718732,16.659906035788556
Jalen Brunson,NYK,65,2301,1690,1200,448,21.494153846153843,21.858461538461537,17.921352926689103
Trae Young,ATL,76,2739,1841,1376,561,21.353157894736842,21.329769989047097,19.636323156447837
Anthony Davis,DAL,51,1705,1261,910,369,21.02666666666667,22.642205278592378,12.722932505671197
