PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
Shai Gilgeous-Alexander,OKC,76,2598,2484,1656,669,25.66263157894737,27.02577367205543,24.083751531196903
Anthony Edwards,MIN,79,2871,2177,1612,496,23.16759493670886,22.949717868338556,23.780592383932145
Jayson Tatum,BOS,72,2624,1932,1465,440,23.03611111111111,22.755182926829267,20.922264943033312
James Harden,LAC,79,2789,1802,1295,578,19.61164556962025,19.998393689494442,20.74067331016498
Devin Booker,PHX,75,2795,1923,1420,483,21.766933333333334,21.027091234347047,20.16532274002925
Stephen Curry,GSW,70,2252,1718,1258,299,19.85085714285714,22.213214920071046,19.90169174978373
LeBron James,LAL,70,2444,1710,1270,331,20.223428571428574,20.852307692307697,19.689560210297923
Trae Young,ATL,76,2739,1841,1376,561,21.353157894736842,21.329769989047097,19.636323156447837
Giannis Antetokounmpo,MIL,67,2289,2036,1319,707,24.32955223880597,25.63690694626474,19.51191485083095
Nikola Jokić,DEN,70,2571,2071,1364,451,22.32057142857143,21.877806301050175,19.51167123725605
Jalen Green,HOU,82,2697,1723,1437,336,19.327317073170732,21.154705228031144,18.650881446089393
DeMar DeRozan,SAC,77,2768,1710,1308,441,19.50701298701299,19.535202312138725,18.53857698611742
Tyler Herro,MIA,77,2725,1840,1378,327,19.764675324675327,20.105570642201837,18.31330984424036
Cade Cunningham,DET,70,2452,1830,1457,370,23.14,23.781729200652528,18.198037065664828
Donovan Mitchell,CLE,71,2232,1701,1320,362,20.834929577464788,23.859354838709677,17.95486765191385
