PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
Shai Gilgeous-Alexander,OKC,76,2598,2484,1656,669,25.66263157894737,27.02577367205543,24.083751531196903
Giannis Antetokounmpo,MIL,67,2289,2036,1319,707,24.32955223880597,25.63690694626474,19.51191485083095
Luka Dončić,LAL,50,1769,1408,1025,395,23.976,24.396156020350478,16.67362096303096
Paolo Banchero,ORL,46,1582,1191,911,385,23.48695652173913,24.58558786346397,13.86870683679495
LaMelo Ball,CHA,47,1505,1184,1003,229,23.484255319148936,26.402232558139534,15.786312122061592
Tyrese Maxey,PHI,52,1960,1369,1091,289,23.42615384615385,22.374367346938776,16.47818888179467
Anthony Edwards,MIN,79,2871,2177,1612,496,23.16759493670886,22.949717868338556,23.780592383932145
Cade Cunningham,DET,70,2452,1830,1457,370,23.14,23.781729200652528,18.198037065664828
Jayson Tatum,BOS,72,2624,1932,1465,440,23.03611111111111,22.755182926829267,20.922264943033312
Nikola Jokić,DEN,70,2571,2071,1364,451,22.32057142857143,21.877806301050175,19.51167123725605
Devin Booker,PHX,75,2795,1923,1420,483,21.766933333333334,21.027091234347047,20.16532274002925
Franz Wagner,ORL,60,2023,1449,1161,311,21.630666666666666,23.095521502718732,16.659906035788556
Jalen Brunson,NYK,65,2301,1690,1200,448,21.494153846153843,21.858461538461537,17.921352926689103
Trae Young,ATL,76,2739,1841,1376,561,21.353157894736842,21.329769989047097,19.636323156447837
Anthony Davis,DAL,51,1705,1261,910,369,21.02666666666667,22.642205278592378,12.722932505671197
De'Aaron Fox,SAS,62,2241,1459,1163,318,21.01483870967742,20.930441767068274,14.695558803890785
Donovan Mitchell,CLE,71,2232,1701,1320,362,20.834929577464788,23.859354838709677,17.95486765191385
Cam Thomas,BKN,25,781,599,454,151,20.817600000000002,23.98955185659411,7.496327024457697
Kyrie Irving,DAL,50,1804,1234,945,214,20.7832,20.737117516629713,12.329033666486328
Kevin Durant,PHX,62,2265,1647,1124,361,20.690967741935484,20.389509933774832,15.845982054626665
Ja Morant,MEM,50,1519,1159,889,319,20.587200000000003,24.395628703094147,13.076950439303012
Zion Williamson,NOP,30,857,737,508,241,20.468,25.793978996499416,8.039614123660588
Victor Wembanyama,SAS,46,1527,1116,857,189,20.438260869565216,22.164872298624754,10.604009889376139
LeBron James,LAL,70,2444,1710,1270,331,20.223428571428574,20.852307692307697,19.689560210297923
Damian Lillard,MIL,58,2093,1447,992,393,20.0848275862069,20.03684663162924,13.94399038576634
Jaylen Brown,BOS,63,2158,1398,1118,322,19.994920634920636,21.01412418906395,15.890123419414087
Stephen Curry,GSW,70,2252,1718,1258,299,19.85085714285714,22.213214920071046,19.90169174978373
Tyler Herro,MIA,77,2725,1840,1378,327,19.764675324675327,20.105570642201837,18.31330984424036
James Harden,LAC,79,2789,1802,1295,578,19.61164556962025,19.998393689494442,20.74067331016498
DeMar DeRozan,SAC,77,2768,1710,1308,441,19.50701298701299,19.535202312138725,18.53857698611742
Brandon Miller,CHA,27,924,568,491,79,19.47259259259259,20.484155844155843,7.519579855489511
Karl-Anthony Towns,NYK,72,2517,1759,1215,409,19.374444444444446,19.951752085816448,17.893645841884904
Jalen Green,HOU,82,2697,1723,1437,336,19.327317073170732,21.154705228031144,18.650881446089393
RJ Barrett,TOR,58,1869,1223,982,311,19.290344827586207,21.550690208667735,14.987568853548233
CJ McCollum,NOP,56,1832,1183,1000,173,19.21642857142857,21.146462882096067,14.089618837133788
Jalen Williams,OKC,69,2237,1490,1168,299,18.834202898550725,20.913795261510952,16.04743746789426
Miles Bridges,CHA,64,2029,1300,1089,254,18.761875,21.3047609659931,17.173635703129918
Jaren Jackson Jr.,MEM,74,2207,1641,1213,398,18.758378378378378,22.642646125962845,17.63462388649772
Scottie Barnes,TOR,65,2134,1252,1063,302,18.398153846153846,20.174170571696344,16.01956833915597
Jamal Murray,DEN,67,2418,1436,1121,246,18.34686567164179,18.30133995037221,15.350686587443116
Kawhi Leonard,LAC,37,1180,796,623,121,18.276756756756757,20.631050847457626,9.052792786039015
Zach LaVine,SAC,74,2603,1724,1223,285,18.221621621621622,18.648636189012677,16.642311262070738
Trey Murphy III,NOP,53,1854,1124,839,230,17.739622641509435,18.25631067961165,12.310020844025935
Dejounte Murray,NOP,31,1012,542,494,124,17.695483870967742,19.51399209486166,7.182285720271077
Norman Powell,LAC,60,1958,1306,945,265,17.69333333333333,19.518692543411643,14.211588817075324
Alperen Sengun,HOU,76,2395,1451,1143,428,17.51736842105263,20.011490605427976,15.667380610539695
Jordan Poole,WAS,68,2001,1391,1057,274,17.31705882352941,21.185487256371815,16.66525143080346
Anfernee Simons,POR,70,2292,1348,1125,194,17.290857142857142,19.010890052356018,15.055202575290938
Darius Garland,CLE,75,2301,1544,1174,255,17.149333333333335,20.123076923076923,15.611345231390677
Coby White,CHI,74,2450,1509,1121,307,16.974054054054054,18.456685714285715,15.840155768425621
Pascal Siakam,IND,78,2548,1578,1182,308,16.89128205128205,18.614882260596545,16.602316602316602
Shaedon Sharpe,POR,72,2252,1335,1104,242,16.81222222222222,19.350479573712256,15.056695209142882
Lauri Markkanen,UTA,47,1476,892,700,185,16.625531914893617,19.058536585365854,9.959824205406397
Jalen Johnson,ATL,36,1284,680,542,126,16.595555555555556,16.75065420560748,7.229008963661357
Austin Reaves,LAL,73,2550,1475,1037,366,16.411506849315067,16.91350588235294,16.663050432557235
Bam Adebayo,MIA,78,2674,1410,1113,328,16.11948717948718,16.92727000747943,15.129767612006392
Desmond Bane,ORL,69,2205,1327,1018,198,16.01623188405797,18.04277551020408,14.186028600035941
