PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Nikola Jokić,DEN,70,2571,2071,12.742857142857142,10.228571428571428,1.8142857142857143,0.6428571428571429,25.428571428571423,12.490081680280047,10.025670945157527,1.7782963827304552,0.6301050175029171,24.924154025670948
Domantas Sabonis,SAC,70,2429,1337,13.885714285714286,6.042857142857143,0.6857142857142857,0.37142857142857144,20.985714285714288,14.405928365582545,6.269246603540552,0.7114038699053108,0.3853437628653767,21.771922601893785
Giannis Antetokounmpo,MIL,67,2289,2036,11.91044776119403,6.462686567164179,0.8656716417910447,1.164179104477612,20.402985074626866,12.550458715596331,6.809960681520314,0.9121887287024902,1.2267365661861076,21.49934469200524
Victor Wembanyama,SAS,46,1527,1116,11.0,3.652173913043478,1.1304347826086956,3.8260869565217392,19.608695652173914,11.929273084479371,3.9607072691552063,1.225933202357564,4.149312377210216,21.265225933202355
Anthony Davis,DAL,51,1705,1261,11.568627450980392,3.549019607843137,1.1568627450980393,2.156862745098039,18.431372549019606,12.457478005865104,3.821700879765396,1.2457478005865104,2.32258064516129,19.847507331378303
Luka Dončić,LAL,50,1769,1408,8.18,7.66,1.78,0.42,18.040000000000003,8.323346523459582,7.794234030525721,1.811192764273601,0.42736009044658,18.356133408705485
LeBron James,LAL,70,2444,1710,7.8,8.214285714285714,1.0,0.5571428571428572,17.57142857142857,8.042553191489361,8.469721767594109,1.0310965630114566,0.5744680851063829,18.117839607201308
Jalen Johnson,ATL,36,1284,680,9.972222222222221,5.027777777777778,1.5555555555555556,1.0,17.555555555555557,10.065420560747663,5.074766355140186,1.5700934579439252,1.0093457943925233,17.7196261682243
Karl-Anthony Towns,NYK,72,2517,1759,12.777777777777779,3.0833333333333335,0.9861111111111112,0.6944444444444444,17.541666666666668,13.158522050059595,3.1752085816448155,1.0154946364719906,0.7151370679380215,18.064362336114424
Josh Hart,NYK,77,2897,1051,9.571428571428571,5.883116883116883,1.5454545454545454,0.35064935064935066,17.350649350649352,9.158439765274421,5.629271660338281,1.4787711425612704,0.33551950293406974,16.602002071108043
Alperen Sengun,HOU,76,2395,1451,10.342105263157896,4.894736842105263,1.105263157894737,0.8026315789473685,17.144736842105264,11.814613778705636,5.591649269311065,1.2626304801670145,0.9169102296450939,19.58580375782881
Josh Giddey,CHI,70,2117,1022,8.085714285714285,7.185714285714286,1.2,0.6428571428571429,17.114285714285714,9.624940954180444,8.553613604156824,1.428436466698158,0.7652338214454416,20.37222484648087
Ivica Zubac,LAC,80,2624,1340,12.625,2.675,0.6875,1.125,17.1125,13.85670731707317,2.9359756097560976,0.7545731707317074,1.2347560975609757,18.78201219512195
Cade Cunningham,DET,70,2452,1830,6.071428571428571,9.114285714285714,1.0142857142857142,0.7571428571428571,16.957142857142856,6.239804241435563,9.36704730831974,1.0424143556280587,0.7781402936378466,17.42740619902121
Walker Kessler,UTA,58,1740,641,12.189655172413794,1.6724137931034482,0.6206896551724138,2.3793103448275863,16.862068965517242,14.627586206896552,2.006896551724138,0.7448275862068965,2.855172413793104,20.23448275862069
