PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,TOV,Usage_pg,TOV_per36,LowTO_HighUsage_Index
DeMar DeRozan,SAC,77,2768,1710,1308,441,105,19.50701298701299,1.365606936416185,14.28450051535766
Keegan Murray,SAC,76,2610,942,820,72,60,11.206315789473683,0.8275862068965517,13.5409649122807
Sam Hauser,BOS,71,1541,605,474,11,23,6.744225352112676,0.5373134328358209,12.551752738654146
Tim Hardaway Jr.,DET,77,2153,844,680,145,48,9.659740259740259,0.8026010218300047,12.03554443241943
Gary Trent Jr.,MIL,74,1893,824,657,92,42,9.425405405405405,0.7987321711568939,11.800457957957956
Harrison Barnes,SAS,82,2230,1011,683,199,50,9.397073170731707,0.8071748878923767,11.641929539295392
Rui Hachimura,LAL,59,1869,775,576,113,49,10.60542372881356,0.9438202247191012,11.236698950766748
OG Anunoby,NYK,74,2706,1332,1027,226,102,15.222162162162164,1.3569844789356986,11.217639109697933
Dillon Brooks,HOU,75,2388,1053,895,121,76,12.6432,1.1457286432160805,11.035073684210525
Pascal Siakam,IND,78,2548,1578,1182,308,109,16.89128205128205,1.5400313971742543,10.968141352361537
Christian Braun,DEN,79,2675,1218,821,214,81,11.584303797468355,1.0900934579439252,10.626890486360717
Malik Beasley,DET,82,2283,1336,1071,140,83,13.812195121951218,1.3088042049934299,10.553293662454694
Lauri Markkanen,UTA,47,1476,892,700,185,66,16.625531914893617,1.6097560975609757,10.327981947130883
Tyrese Maxey,PHI,52,1960,1369,1091,289,124,23.42615384615385,2.277551020408163,10.285676867934935
Michael Porter Jr.,DEN,77,2593,1398,1048,194,104,14.718961038961037,1.4438873891245663,10.193981296481294
Shai Gilgeous-Alexander,OKC,76,2598,2484,1656,669,183,25.66263157894737,2.5357967667436494,10.120145240149553
Kristaps Porziņģis,BOS,42,1210,818,574,199,53,15.751428571428571,1.5768595041322315,9.989113507038034
Kelly Oubre Jr.,PHI,60,2078,906,741,185,80,13.706666666666667,1.3859480269489892,9.889740740740743
Luguentz Dort,OKC,71,2073,719,593,46,51,8.63718309859155,0.8856729377713459,9.752113596612354
Isaiah Joe,OKC,74,1604,756,588,56,38,8.278918918918919,0.8528678304239401,9.707153469258733
Miles McBride,NYK,64,1593,611,547,64,41,8.986875,0.9265536723163842,9.699249237804878
Mikal Bridges,NYK,82,3036,1444,1183,118,132,15.06,1.5652173913043477,9.621666666666668
Kyrie Irving,DAL,50,1804,1234,945,214,111,20.7832,2.215077605321508,9.382605805805806
CJ McCollum,NOP,56,1832,1183,1000,173,106,19.21642857142857,2.082969432314411,9.225497154836775
Devin Vassell,SAS,64,1983,1041,889,120,88,14.715625,1.5975794251134645,9.211200875946968
Fred VanVleet,HOU,60,2111,844,759,137,87,13.654666666666666,1.4836570345807674,9.20338484461473
Jimmy Butler III,GSW,55,1746,964,597,392,74,13.990545454545455,1.5257731958762888,9.169479115479115
Tobias Harris,DET,73,2305,1002,805,166,85,12.027945205479451,1.3275488069414316,9.060265914585012
Jerami Grant,POR,47,1524,677,574,166,65,13.766808510638297,1.535433070866142,8.96607528641571
Jamal Murray,DEN,67,2418,1436,1121,246,138,18.34686567164179,2.054590570719603,8.929694282212129
Norman Powell,LAC,60,1958,1306,945,265,108,17.69333333333333,1.985699693564862,8.910377229080932
Trey Murphy III,NOP,53,1854,1124,839,230,103,17.739622641509435,2.0,8.869811320754717
