PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Ivica Zubac,LAC,80,2624,300,710,1010,37.78337531486146,26.492537313432834,29.073114565342546
Rudy Gobert,MIN,72,2388,265,520,785,30.921820303383896,19.696969696969695,22.447812410637688
Jalen Duren,DET,78,2034,277,530,807,29.436769394261425,18.409169850642584,21.12565445026178
Walker Kessler,UTA,58,1740,266,441,707,29.392265193370164,17.172897196261683,20.357040023034838
Karl-Anthony Towns,NYK,72,2517,212,708,920,27.604166666666668,29.475437135720234,29.02208201892745
Domantas Sabonis,SAC,70,2429,267,705,972,27.27272727272727,24.086094977792964,24.88479262672811
Yves Missi,NOP,73,1956,255,346,601,26.813880126182966,13.940370668815472,17.506554034372268
Zach Edey,MEM,66,1416,232,316,548,24.116424116424117,12.624850179784259,15.815295815295816
Jarrett Allen,CLE,82,2296,216,582,798,23.580786026200872,20.965417867435157,21.614301191765982
Bam Adebayo,MIA,78,2674,185,564,749,23.125,20.099786172487526,20.77093732667776
Nikola Jokić,DEN,70,2571,200,692,892,22.624434389140273,25.31089978054133,24.654505251520177
Onyeka Okongwu,ATL,74,2064,220,440,660,21.956087824351297,16.09952433223564,17.670682730923694
Alperen Sengun,HOU,76,2395,262,524,786,21.833333333333332,18.621179815209665,19.581464872944693
Josh Hart,NYK,77,2897,161,576,737,20.963541666666664,23.98001665278934,23.249211356466876
Luke Kornet,BOS,73,1361,190,198,388,20.787746170678336,7.3387694588584145,10.741971207087486
