PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Ivica Zubac,LAC,80,2624,300,710,1010,37.78337531486146,26.492537313432834,29.073114565342546
Karl-Anthony Towns,NYK,72,2517,212,708,920,27.604166666666668,29.475437135720234,29.02208201892745
Domantas Sabonis,SAC,70,2429,267,705,972,27.27272727272727,24.086094977792964,24.88479262672811
Nikola Jokić,DEN,70,2571,200,692,892,22.624434389140273,25.31089978054133,24.654505251520177
Josh Hart,NYK,77,2897,161,576,737,20.963541666666664,23.98001665278934,23.249211356466876
Rudy Gobert,MIN,72,2388,265,520,785,30.921820303383896,19.696969696969695,22.447812410637688
Jarrett Allen,CLE,82,2296,216,582,798,23.580786026200872,20.965417867435157,21.614301191765982
Giannis Antetokounmpo,MIL,67,2289,147,651,798,20.33195020746888,21.47097625329815,21.251664447403463
Jalen Duren,DET,78,2034,277,530,807,29.436769394261425,18.409169850642584,21.12565445026178
Bam Adebayo,MIA,78,2674,185,564,749,23.125,20.099786172487526,20.77093732667776
Walker Kessler,UTA,58,1740,266,441,707,29.392265193370164,17.172897196261683,20.357040023034838
Alperen Sengun,HOU,76,2395,262,524,786,21.833333333333332,18.621179815209665,19.581464872944693
Nikola Vučević,CHI,73,2278,178,557,735,20.721769499417928,19.16064671482628,19.516728624535315
Evan Mobley,CLE,71,2167,164,495,659,17.903930131004365,17.8314121037464,17.84940411700975
Onyeka Okongwu,ATL,74,2064,220,440,660,21.956087824351297,16.09952433223564,17.670682730923694
Yves Missi,NOP,73,1956,255,346,601,26.813880126182966,13.940370668815472,17.506554034372268
Nic Claxton,BKN,70,1882,157,358,515,19.748427672955977,16.497695852534562,17.36930860033727
Jayson Tatum,BOS,72,2624,48,575,623,5.25164113785558,21.312083024462563,17.248062015503876
Isaiah Hartenstein,OKC,57,1590,163,448,611,19.497607655502392,16.440366972477065,17.158101656837967
LeBron James,LAL,70,2444,72,474,546,9.436435124508519,19.02850260939382,16.779348494161034
Jakob Poeltl,TOR,57,1686,189,358,547,19.957761351636748,14.817880794701988,16.26523936961047
Pascal Siakam,IND,78,2548,133,407,540,18.679775280898877,15.552158960641957,16.22108741363773
Jonas Valančiūnas,SAC,81,1524,190,437,627,19.40755873340143,14.9299624188589,16.052227342549923
Zach Edey,MEM,66,1416,232,316,548,24.116424116424117,12.624850179784259,15.815295815295816
Anthony Davis,DAL,51,1705,134,456,590,14.225053078556263,15.88850174216028,15.47743966421826
Josh Giddey,CHI,70,2117,127,439,566,14.78463329452852,15.101479188166495,15.029208709506106
Alex Sarr,WAS,67,1814,124,311,435,18.702865761689292,13.846838824577027,14.953592299759366
Scottie Barnes,TOR,65,2134,109,393,502,11.510031678986273,16.266556291390728,14.927148379423134
Michael Porter Jr.,DEN,77,2593,138,402,540,15.610859728506787,14.703730797366497,14.925373134328357
Donovan Clingan,POR,67,1324,217,310,527,20.375586854460092,12.291831879460744,14.691943127962084
Deni Avdija,POR,72,2161,110,412,522,10.328638497652582,16.33624107850912,14.552550878171175
Miles Bridges,CHA,64,2029,72,409,481,7.886089813800658,16.498588140379187,14.180424528301888
Wendell Carter Jr.,ORL,68,1758,151,341,492,16.833890746934223,13.227307990690457,14.158273381294965
