Year,Season_Type,PLAYER,GP,MIN,OREB,DREB,REB,OREB_PG,DREB_PG,REB_PG,OREB_P36,DREB_P36,REB_P36
2020-21,Regular Season,Rudy Gobert,71,2187,240,720,960,3.380281690140845,10.140845070422536,13.52112676056338,3.950617283950617,11.851851851851851,15.802469135802468
2020-21,Regular Season,Dwight Howard,69,1196,190,390,580,2.753623188405797,5.6521739130434785,8.405797101449275,5.719063545150502,11.73913043478261,17.45819397993311
2020-21,Regular Season,Clint Capela,63,1898,297,606,903,4.714285714285714,9.619047619047619,14.333333333333334,5.633298208640674,11.494204425711274,17.12750263435195
2020-21,Regular Season,Andre Drummond,46,1242,166,385,551,3.608695652173913,8.369565217391305,11.978260869565217,4.811594202898551,11.159420289855072,15.971014492753625
2020-21,Regular Season,Jonas Valančiūnas,62,1755,253,523,776,4.080645161290323,8.435483870967742,12.516129032258064,5.18974358974359,10.728205128205127,15.917948717948718
2020-21,Regular Season,Enes Freedom,72,1757,284,511,795,3.9444444444444446,7.097222222222222,11.041666666666666,5.819009675583381,10.470119521912352,16.289129197495733
2020-21,Regular Season,Nikola Vučević,70,2348,146,671,817,2.085714285714286,9.585714285714285,11.67142857142857,2.2385008517887566,10.287904599659283,12.526405451448042
2020-21,Regular Season,Giannis Antetokounmpo,61,2013,97,574,671,1.5901639344262295,9.40983606557377,11.0,1.7347242921013413,10.26527570789866,12.0
2020-21,Regular Season,Jusuf Nurkić,37,880,86,246,332,2.324324324324324,6.648648648648648,8.972972972972974,3.5181818181818185,10.063636363636363,13.581818181818182
2020-21,Regular Season,Russell Westbrook,65,2369,109,641,750,1.676923076923077,9.861538461538462,11.538461538461538,1.6563951034191642,9.740818910932882,11.397214014352048
2021-22,Regular Season,Rudy Gobert,66,2120,241,727,968,3.6515151515151514,11.015151515151516,14.666666666666666,4.092452830188679,12.345283018867924,16.437735849056605
2021-22,Regular Season,Nikola Jokić,74,2476,206,813,1019,2.7837837837837838,10.986486486486486,13.77027027027027,2.995153473344103,11.820678513731824,14.81583198707593
2021-22,Regular Season,Andre Drummond,73,1437,229,451,680,3.136986301369863,6.178082191780822,9.315068493150685,5.736951983298538,11.298538622129437,17.035490605427974
2021-22,Regular Season,Clint Capela,74,2042,279,598,877,3.77027027027027,8.08108108108108,11.85135135135135,4.918707149853085,10.54260528893242,15.461312438785505
2021-22,Regular Season,Giannis Antetokounmpo,67,2204,134,644,778,2.0,9.611940298507463,11.611940298507463,2.1887477313974593,10.519056261343014,12.707803992740473
2021-22,Regular Season,Jusuf Nurkić,56,1578,167,452,619,2.982142857142857,8.071428571428571,11.053571428571429,3.8098859315589353,10.311787072243346,14.12167300380228
2021-22,Regular Season,JaVale McGee,74,1172,163,333,496,2.2027027027027026,4.5,6.702702702702703,5.006825938566553,10.228668941979523,15.235494880546076
2021-22,Regular Season,Joel Embiid,68,2296,146,650,796,2.1470588235294117,9.558823529411764,11.705882352941176,2.289198606271777,10.19163763066202,12.480836236933797
2021-22,Regular Season,Hassan Whiteside,65,1162,166,328,494,2.5538461538461537,5.046153846153846,7.6,5.142857142857142,10.161790017211704,15.304647160068846
2021-22,Regular Season,Jonas Valančiūnas,74,2240,226,617,843,3.054054054054054,8.337837837837839,11.391891891891891,3.632142857142857,9.91607142857143,13.548214285714286
2022-23,Regular Season,Andre Drummond,67,849,138,306,444,2.0597014925373136,4.567164179104478,6.626865671641791,5.851590106007067,12.975265017667844,18.826855123674914
2022-23,Regular Season,Giannis Antetokounmpo,63,2024,137,605,742,2.1746031746031744,9.603174603174603,11.777777777777779,2.4367588932806323,10.76086956521739,13.197628458498023
2022-23,Regular Season,Jonas Valančiūnas,79,1968,225,579,804,2.848101265822785,7.329113924050633,10.177215189873417,4.115853658536586,10.591463414634145,14.707317073170731
2022-23,Regular Season,Bobby Portis,70,1818,154,518,672,2.2,7.4,9.6,3.049504950495049,10.257425742574258,13.306930693069306
2022-23,Regular Season,Nikola Jokić,69,2323,167,650,817,2.420289855072464,9.420289855072463,11.840579710144928,2.5880327163151096,10.073181231166595,12.661213947481704
2022-23,Regular Season,Kevin Love,62,1239,59,340,399,0.9516129032258065,5.483870967741935,6.435483870967742,1.7142857142857142,9.878934624697337,11.59322033898305
2022-23,Regular Season,Rudy Gobert,70,2148,231,583,814,3.3,8.32857142857143,11.628571428571428,3.871508379888268,9.77094972067039,13.64245810055866
2022-23,Regular Season,Nikola Vučević,82,2746,159,744,903,1.9390243902439024,9.073170731707316,11.012195121951219,2.08448652585579,9.753823743627095,11.838310269482884
2022-23,Regular Season,Anthony Davis,56,1905,195,507,702,3.482142857142857,9.053571428571429,12.535714285714286,3.6850393700787403,9.581102362204724,13.266141732283465
2022-23,Regular Season,Clint Capela,65,1730,258,459,717,3.9692307692307693,7.061538461538461,11.03076923076923,5.36878612716763,9.551445086705202,14.920231213872832
2023-24,Regular Season,Andre Drummond,79,1351,265,443,708,3.3544303797468356,5.6075949367088604,8.962025316455696,7.061435973353072,11.804589193190228,18.866025166543302
2023-24,Regular Season,Kevin Love,55,924,59,279,338,1.0727272727272728,5.072727272727272,6.1454545454545455,2.2987012987012987,10.87012987012987,13.168831168831169
2023-24,Regular Season,Jusuf Nurkić,76,2078,224,613,837,2.9473684210526314,8.06578947368421,11.013157894736842,3.8806544754571703,10.61982675649663,14.500481231953803
2023-24,Regular Season,Jalen Duren,61,1777,192,517,709,3.1475409836065573,8.475409836065573,11.62295081967213,3.8897017445132245,10.473832301631964,14.363534046145189
2023-24,Regular Season,Domantas Sabonis,82,2928,294,826,1120,3.5853658536585367,10.073170731707316,13.658536585365853,3.6147540983606556,10.155737704918034,13.770491803278688
2023-24,Regular Season,Victor Wembanyama,71,2106,161,594,755,2.267605633802817,8.366197183098592,10.633802816901408,2.752136752136752,10.153846153846153,12.905982905982906
2023-24,Regular Season,Jonas Valančiūnas,82,1925,186,535,721,2.268292682926829,6.524390243902439,8.792682926829269,3.4784415584415584,10.005194805194805,13.483636363636364
2023-24,Regular Season,Nikola Jokić,79,2737,223,753,976,2.8227848101265822,9.531645569620252,12.354430379746836,2.9331384727804166,9.904274753379612,12.837413226160029
2023-24,Regular Season,Rudy Gobert,76,2593,285,697,982,3.75,9.171052631578947,12.921052631578947,3.9568067875048207,9.676822213652141,13.633629001156962
2023-24,Regular Season,Anthony Davis,76,2700,239,722,961,3.1447368421052633,9.5,12.644736842105264,3.186666666666667,9.626666666666667,12.813333333333333
2024-25,Regular Season,Jusuf Nurkić,51,1063,85,313,398,1.6666666666666667,6.137254901960785,7.803921568627451,2.8786453433678267,10.60018814675447,13.478833490122296
