Year,Season_Type,PLAYER,GP,MIN,OREB,DREB,REB,OREB_PG,DREB_PG,REB_PG,OREB_P36,DREB_P36,REB_P36
2020-21,Regular Season,Moses Brown,43,920,154,229,383,3.5813953488372094,5.325581395348837,8.906976744186046,6.026086956521739,8.960869565217392,14.98695652173913
2020-21,Regular Season,Enes Freedom,72,1757,284,511,795,3.9444444444444446,7.097222222222222,11.041666666666666,5.819009675583381,10.470119521912352,16.289129197495733
2020-21,Regular Season,Dwight Howard,69,1196,190,390,580,2.753623188405797,5.6521739130434785,8.405797101449275,5.719063545150502,11.73913043478261,17.45819397993311
2020-21,Regular Season,Clint Capela,63,1898,297,606,903,4.714285714285714,9.619047619047619,14.333333333333334,5.633298208640674,11.494204425711274,17.12750263435195
2020-21,Regular Season,Jonas Valančiūnas,62,1755,253,523,776,4.080645161290323,8.435483870967742,12.516129032258064,5.18974358974359,10.728205128205127,15.917948717948718
2020-21,Regular Season,Willy Hernangomez,47,846,117,217,334,2.4893617021276597,4.617021276595745,7.1063829787234045,4.9787234042553195,9.23404255319149,14.212765957446809
2020-21,Regular Season,Robert Williams III,52,985,133,225,358,2.5576923076923075,4.326923076923077,6.884615384615385,4.860913705583756,8.223350253807107,13.084263959390864
2020-21,Regular Season,Andre Drummond,46,1242,166,385,551,3.608695652173913,8.369565217391305,11.978260869565217,4.811594202898551,11.159420289855072,15.971014492753625
2020-21,Regular Season,Derrick Favors,68,1039,138,238,376,2.0294117647058822,3.5,5.529411764705882,4.781520692974014,8.246390760346486,13.0279114533205
2020-21,Regular Season,Steven Adams,58,1605,213,301,514,3.6724137931034484,5.189655172413793,8.862068965517242,4.777570093457944,6.751401869158879,11.528971962616822
2021-22,Regular Season,Steven Adams,76,1999,349,411,760,4.592105263157895,5.407894736842105,10.0,6.285142571285642,7.401700850425213,13.686843421710856
2021-22,Regular Season,Willy Hernangomez,50,839,143,195,338,2.86,3.9,6.76,6.135876042908224,8.367103694874851,14.502979737783075
2021-22,Regular Season,Mitchell Robinson,72,1848,295,322,617,4.097222222222222,4.472222222222222,8.569444444444445,5.746753246753246,6.272727272727273,12.01948051948052
2021-22,Regular Season,Andre Drummond,73,1437,229,451,680,3.136986301369863,6.178082191780822,9.315068493150685,5.736951983298538,11.298538622129437,17.035490605427974
2021-22,Regular Season,Hassan Whiteside,65,1162,166,328,494,2.5538461538461537,5.046153846153846,7.6,5.142857142857142,10.161790017211704,15.304647160068846
2021-22,Regular Season,JaVale McGee,74,1172,163,333,496,2.2027027027027026,4.5,6.702702702702703,5.006825938566553,10.228668941979523,15.235494880546076
2021-22,Regular Season,Clint Capela,74,2042,279,598,877,3.77027027027027,8.08108108108108,11.85135135135135,4.918707149853085,10.54260528893242,15.461312438785505
2021-22,Regular Season,Tristan Thompson,57,896,120,168,288,2.1052631578947367,2.9473684210526314,5.052631578947368,4.821428571428571,6.75,11.571428571428573
2021-22,Regular Season,Jakob Poeltl,68,1970,262,372,634,3.8529411764705883,5.470588235294118,9.323529411764707,4.787817258883249,6.797969543147208,11.585786802030457
2021-22,Regular Season,Robert Williams III,61,1804,238,350,588,3.901639344262295,5.737704918032787,9.639344262295081,4.749445676274944,6.984478935698448,11.733924611973393
2022-23,Regular Season,Steven Adams,42,1133,214,271,485,5.095238095238095,6.4523809523809526,11.547619047619047,6.799646954986761,8.610767872903795,15.410414827890557
2022-23,Regular Season,Mitchell Robinson,59,1589,267,288,555,4.52542372881356,4.88135593220339,9.40677966101695,6.049087476400251,6.524858401510384,12.573945877910637
2022-23,Regular Season,Andre Drummond,67,849,138,306,444,2.0597014925373136,4.567164179104478,6.626865671641791,5.851590106007067,12.975265017667844,18.826855123674914
2022-23,Regular Season,Clint Capela,65,1730,258,459,717,3.9692307692307693,7.061538461538461,11.03076923076923,5.36878612716763,9.551445086705202,14.920231213872832
2022-23,Regular Season,Kevon Looney,82,1958,274,486,760,3.341463414634146,5.926829268292683,9.268292682926829,5.03779366700715,8.93564862104188,13.97344228804903
2022-23,Regular Season,Jalen Duren,67,1670,229,366,595,3.417910447761194,5.462686567164179,8.880597014925373,4.936526946107784,7.889820359281437,12.82634730538922
2022-23,Regular Season,Walker Kessler,74,1703,231,389,620,3.1216216216216215,5.256756756756757,8.378378378378379,4.883147386964181,8.223135642982971,13.106283029947152
2022-23,Regular Season,Isaiah Hartenstein,82,1628,209,327,536,2.548780487804878,3.9878048780487805,6.536585365853658,4.621621621621621,7.230958230958231,11.852579852579852
