Year,Season_Type,PLAYER,GP,MIN,OREB,DREB,REB,OREB_PG,DREB_PG,REB_PG,OREB_P36,DREB_P36,REB_P36
2020-21,Regular Season,Clint Capela,63,1898,297,606,903,4.714285714285714,9.619047619047619,14.333333333333334,5.633298208640674,11.494204425711274,17.12750263435195
2020-21,Regular Season,Jonas Valančiūnas,62,1755,253,523,776,4.080645161290323,8.435483870967742,12.516129032258064,5.18974358974359,10.728205128205127,15.917948717948718
2020-21,Regular Season,Enes Freedom,72,1757,284,511,795,3.9444444444444446,7.097222222222222,11.041666666666666,5.819009675583381,10.470119521912352,16.289129197495733
2020-21,Regular Season,Steven Adams,58,1605,213,301,514,3.6724137931034484,5.189655172413793,8.862068965517242,4.777570093457944,6.751401869158879,11.528971962616822
2020-21,Regular Season,Mitchell Robinson,31,853,113,139,252,3.6451612903225805,4.483870967741935,8.129032258064516,4.76905041031653,5.866354044548651,10.635404454865181
2020-21,Regular Season,Andre Drummond,46,1242,166,385,551,3.608695652173913,8.369565217391305,11.978260869565217,4.811594202898551,11.159420289855072,15.971014492753625
2020-21,Regular Season,Moses Brown,43,920,154,229,383,3.5813953488372094,5.325581395348837,8.906976744186046,6.026086956521739,8.960869565217392,14.98695652173913
2020-21,Regular Season,Rudy Gobert,71,2187,240,720,960,3.380281690140845,10.140845070422536,13.52112676056338,3.950617283950617,11.851851851851851,15.802469135802468
2020-21,Regular Season,Deandre Ayton,69,2115,228,499,727,3.3043478260869565,7.231884057971015,10.53623188405797,3.8808510638297875,8.493617021276595,12.374468085106383
2020-21,Regular Season,Jakob Poeltl,69,1845,219,328,547,3.1739130434782608,4.753623188405797,7.927536231884058,4.273170731707317,6.4,10.673170731707316
2021-22,Regular Season,Steven Adams,76,1999,349,411,760,4.592105263157895,5.407894736842105,10.0,6.285142571285642,7.401700850425213,13.686843421710856
2021-22,Regular Season,Mitchell Robinson,72,1848,295,322,617,4.097222222222222,4.472222222222222,8.569444444444445,5.746753246753246,6.272727272727273,12.01948051948052
2021-22,Regular Season,Robert Williams III,61,1804,238,350,588,3.901639344262295,5.737704918032787,9.639344262295081,4.749445676274944,6.984478935698448,11.733924611973393
2021-22,Regular Season,Jakob Poeltl,68,1970,262,372,634,3.8529411764705883,5.470588235294118,9.323529411764707,4.787817258883249,6.797969543147208,11.585786802030457
2021-22,Regular Season,Clint Capela,74,2042,279,598,877,3.77027027027027,8.08108108108108,11.85135135135135,4.918707149853085,10.54260528893242,15.461312438785505
2021-22,Regular Season,Rudy Gobert,66,2120,241,727,968,3.6515151515151514,11.015151515151516,14.666666666666666,4.092452830188679,12.345283018867924,16.437735849056605
2021-22,Regular Season,Jarrett Allen,56,1810,192,410,602,3.4285714285714284,7.321428571428571,10.75,3.8187845303867403,8.154696132596685,11.973480662983425
2021-22,Regular Season,Domantas Sabonis,62,2136,201,551,752,3.2419354838709675,8.887096774193548,12.129032258064516,3.387640449438202,9.286516853932584,12.674157303370787
2021-22,Regular Season,Isaiah Stewart,71,1816,226,391,617,3.183098591549296,5.507042253521127,8.690140845070422,4.4801762114537445,7.751101321585903,12.231277533039648
2021-22,Regular Season,Andre Drummond,73,1437,229,451,680,3.136986301369863,6.178082191780822,9.315068493150685,5.736951983298538,11.298538622129437,17.035490605427974
2022-23,Regular Season,Steven Adams,42,1133,214,271,485,5.095238095238095,6.4523809523809526,11.547619047619047,6.799646954986761,8.610767872903795,15.410414827890557
2022-23,Regular Season,Mitchell Robinson,59,1589,267,288,555,4.52542372881356,4.88135593220339,9.40677966101695,6.049087476400251,6.524858401510384,12.573945877910637
2022-23,Regular Season,Clint Capela,65,1730,258,459,717,3.9692307692307693,7.061538461538461,11.03076923076923,5.36878612716763,9.551445086705202,14.920231213872832
2022-23,Regular Season,Anthony Davis,56,1905,195,507,702,3.482142857142857,9.053571428571429,12.535714285714286,3.6850393700787403,9.581102362204724,13.266141732283465
2022-23,Regular Season,Jalen Duren,67,1670,229,366,595,3.417910447761194,5.462686567164179,8.880597014925373,4.936526946107784,7.889820359281437,12.82634730538922
2022-23,Regular Season,Kevon Looney,82,1958,274,486,760,3.341463414634146,5.926829268292683,9.268292682926829,5.03779366700715,8.93564862104188,13.97344228804903
2022-23,Regular Season,Rudy Gobert,70,2148,231,583,814,3.3,8.32857142857143,11.628571428571428,3.871508379888268,9.77094972067039,13.64245810055866
2022-23,Regular Season,Jakob Poeltl,72,1906,236,417,653,3.2777777777777777,5.791666666666667,9.069444444444445,4.457502623294858,7.876180482686253,12.33368310598111
2022-23,Regular Season,Jarrett Allen,68,2220,221,445,666,3.25,6.544117647058823,9.794117647058824,3.5837837837837836,7.216216216216217,10.799999999999999
2022-23,Regular Season,Alperen Sengun,75,2171,242,436,678,3.2266666666666666,5.8133333333333335,9.04,4.01289728235836,7.229847996315062,11.242745278673423
2023-24,Regular Season,Clint Capela,73,1883,335,441,776,4.589041095890411,6.041095890410959,10.63013698630137,6.404673393520977,8.431226765799257,14.835900159320234
2023-24,Regular Season,Rudy Gobert,76,2593,285,697,982,3.75,9.171052631578947,12.921052631578947,3.9568067875048207,9.676822213652141,13.633629001156962
2023-24,Regular Season,Domantas Sabonis,82,2928,294,826,1120,3.5853658536585367,10.073170731707316,13.658536585365853,3.6147540983606556,10.155737704918034,13.770491803278688
2023-24,Regular Season,Andre Drummond,79,1351,265,443,708,3.3544303797468356,5.6075949367088604,8.962025316455696,7.061435973353072,11.804589193190228,18.866025166543302
2023-24,Regular Season,Isaiah Hartenstein,75,1896,244,382,626,3.2533333333333334,5.093333333333334,8.346666666666666,4.632911392405064,7.253164556962026,11.88607594936709
2023-24,Regular Season,Deandre Ayton,55,1783,176,433,609,3.2,7.872727272727273,11.072727272727272,3.5535614133482896,8.742568704430735,12.296130117779024
2023-24,Regular Season,Jarrett Allen,77,2442,243,568,811,3.155844155844156,7.376623376623376,10.532467532467532,3.5823095823095823,8.373464373464374,11.955773955773957
2023-24,Regular Season,Jalen Duren,61,1777,192,517,709,3.1475409836065573,8.475409836065573,11.62295081967213,3.8897017445132245,10.473832301631964,14.363534046145189
2023-24,Regular Season,Anthony Davis,76,2700,239,722,961,3.1447368421052633,9.5,12.644736842105264,3.186666666666667,9.626666666666667,12.813333333333333
2023-24,Regular Season,Jusuf Nurkić,76,2078,224,613,837,2.9473684210526314,8.06578947368421,11.013157894736842,3.8806544754571703,10.61982675649663,14.500481231953803
2024-25,Regular Season,Walker Kessler,58,1740,266,441,707,4.586206896551724,7.603448275862069,12.189655172413794,5.503448275862069,9.124137931034483,14.627586206896552
2024-25,Regular Season,Domantas Sabonis,70,2429,267,705,972,3.8142857142857145,10.071428571428571,13.885714285714286,3.9571840263482914,10.448744339234253,14.405928365582545
2024-25,Regular Season,Ivica Zubac,80,2624,300,710,1010,3.75,8.875,12.625,4.115853658536586,9.740853658536585,13.85670731707317
2024-25,Regular Season,Rudy Gobert,72,2388,265,520,785,3.6805555555555554,7.222222222222222,10.902777777777779,3.9949748743718594,7.839195979899498,11.834170854271358
2024-25,Regular Season,Jalen Duren,78,2034,277,530,807,3.551282051282051,6.794871794871795,10.346153846153847,4.902654867256636,9.380530973451327,14.283185840707965
2024-25,Regular Season,Zach Edey,66,1416,232,316,548,3.515151515151515,4.787878787878788,8.303030303030303,5.898305084745762,8.033898305084746,13.932203389830509
2024-25,Regular Season,Yves Missi,73,1956,255,346,601,3.493150684931507,4.739726027397261,8.232876712328768,4.693251533742331,6.368098159509202,11.061349693251534
2024-25,Regular Season,Alperen Sengun,76,2395,262,524,786,3.4473684210526314,6.894736842105263,10.342105263157896,3.938204592901879,7.876409185803758,11.814613778705636
2024-25,Regular Season,Jakob Poeltl,57,1686,189,358,547,3.3157894736842106,6.280701754385965,9.596491228070175,4.0355871886121,7.644128113879004,11.679715302491104
2024-25,Regular Season,Donovan Clingan,67,1324,217,310,527,3.2388059701492535,4.626865671641791,7.865671641791045,5.900302114803625,8.429003021148036,14.32930513595166
