Year,Season_Type,PLAYER,GP,MIN,OREB,DREB,REB,OREB_PG,DREB_PG,REB_PG,OREB_P36,DREB_P36,REB_P36
2020-21,Regular Season,Clint Capela,63,1898,297,606,903,4.714285714285714,9.619047619047619,14.333333333333334,5.633298208640674,11.494204425711274,17.12750263435195
2020-21,Regular Season,Rudy Gobert,71,2187,240,720,960,3.380281690140845,10.140845070422536,13.52112676056338,3.950617283950617,11.851851851851851,15.802469135802468
2020-21,Regular Season,Jonas Valančiūnas,62,1755,253,523,776,4.080645161290323,8.435483870967742,12.516129032258064,5.18974358974359,10.728205128205127,15.917948717948718
2020-21,Regular Season,Andre Drummond,46,1242,166,385,551,3.608695652173913,8.369565217391305,11.978260869565217,4.811594202898551,11.159420289855072,15.971014492753625
2020-21,Regular Season,Domantas Sabonis,62,2231,150,592,742,2.4193548387096775,9.548387096774194,11.96774193548387,2.4204392649036306,9.55266696548633,11.97310623038996
2020-21,Regular Season,Nikola Vučević,70,2348,146,671,817,2.085714285714286,9.585714285714285,11.67142857142857,2.2385008517887566,10.287904599659283,12.526405451448042
2020-21,Regular Season,Russell Westbrook,65,2369,109,641,750,1.676923076923077,9.861538461538462,11.538461538461538,1.6563951034191642,9.740818910932882,11.397214014352048
2020-21,Regular Season,Enes Freedom,72,1757,284,511,795,3.9444444444444446,7.097222222222222,11.041666666666666,5.819009675583381,10.470119521912352,16.289129197495733
2020-21,Regular Season,Giannis Antetokounmpo,61,2013,97,574,671,1.5901639344262295,9.40983606557377,11.0,1.7347242921013413,10.26527570789866,12.0
2020-21,Regular Season,Nikola Jokić,72,2488,205,575,780,2.8472222222222223,7.986111111111111,10.833333333333334,2.9662379421221865,8.319935691318328,11.286173633440514
2021-22,Regular Season,Rudy Gobert,66,2120,241,727,968,3.6515151515151514,11.015151515151516,14.666666666666666,4.092452830188679,12.345283018867924,16.437735849056605
2021-22,Regular Season,Nikola Jokić,74,2476,206,813,1019,2.7837837837837838,10.986486486486486,13.77027027027027,2.995153473344103,11.820678513731824,14.81583198707593
2021-22,Regular Season,Domantas Sabonis,62,2136,201,551,752,3.2419354838709675,8.887096774193548,12.129032258064516,3.387640449438202,9.286516853932584,12.674157303370787
2021-22,Regular Season,Clint Capela,74,2042,279,598,877,3.77027027027027,8.08108108108108,11.85135135135135,4.918707149853085,10.54260528893242,15.461312438785505
2021-22,Regular Season,Joel Embiid,68,2296,146,650,796,2.1470588235294117,9.558823529411764,11.705882352941176,2.289198606271777,10.19163763066202,12.480836236933797
2021-22,Regular Season,Giannis Antetokounmpo,67,2204,134,644,778,2.0,9.611940298507463,11.611940298507463,2.1887477313974593,10.519056261343014,12.707803992740473
2021-22,Regular Season,Jonas Valančiūnas,74,2240,226,617,843,3.054054054054054,8.337837837837839,11.391891891891891,3.632142857142857,9.91607142857143,13.548214285714286
2021-22,Regular Season,Jusuf Nurkić,56,1578,167,452,619,2.982142857142857,8.071428571428571,11.053571428571429,3.8098859315589353,10.311787072243346,14.12167300380228
2021-22,Regular Season,Nikola Vučević,73,2418,142,662,804,1.9452054794520548,9.068493150684931,11.013698630136986,2.1141439205955335,9.8560794044665,11.970223325062033
2021-22,Regular Season,Jarrett Allen,56,1810,192,410,602,3.4285714285714284,7.321428571428571,10.75,3.8187845303867403,8.154696132596685,11.973480662983425
2022-23,Regular Season,Anthony Davis,56,1905,195,507,702,3.482142857142857,9.053571428571429,12.535714285714286,3.6850393700787403,9.581102362204724,13.266141732283465
2022-23,Regular Season,Domantas Sabonis,79,2736,251,722,973,3.1772151898734178,9.139240506329115,12.316455696202532,3.302631578947368,9.5,12.802631578947368
2022-23,Regular Season,Nikola Jokić,69,2323,167,650,817,2.420289855072464,9.420289855072463,11.840579710144928,2.5880327163151096,10.073181231166595,12.661213947481704
2022-23,Regular Season,Giannis Antetokounmpo,63,2024,137,605,742,2.1746031746031744,9.603174603174603,11.777777777777779,2.4367588932806323,10.76086956521739,13.197628458498023
2022-23,Regular Season,Rudy Gobert,70,2148,231,583,814,3.3,8.32857142857143,11.628571428571428,3.871508379888268,9.77094972067039,13.64245810055866
2022-23,Regular Season,Steven Adams,42,1133,214,271,485,5.095238095238095,6.4523809523809526,11.547619047619047,6.799646954986761,8.610767872903795,15.410414827890557
2022-23,Regular Season,Clint Capela,65,1730,258,459,717,3.9692307692307693,7.061538461538461,11.03076923076923,5.36878612716763,9.551445086705202,14.920231213872832
2022-23,Regular Season,Nikola Vučević,82,2746,159,744,903,1.9390243902439024,9.073170731707316,11.012195121951219,2.08448652585579,9.753823743627095,11.838310269482884
2022-23,Regular Season,Jonas Valančiūnas,79,1968,225,579,804,2.848101265822785,7.329113924050633,10.177215189873417,4.115853658536586,10.591463414634145,14.707317073170731
2022-23,Regular Season,Joel Embiid,66,2284,113,557,670,1.7121212121212122,8.43939393939394,10.151515151515152,1.7810858143607706,8.779334500875656,10.560420315236428
2023-24,Regular Season,Domantas Sabonis,82,2928,294,826,1120,3.5853658536585367,10.073170731707316,13.658536585365853,3.6147540983606556,10.155737704918034,13.770491803278688
2023-24,Regular Season,Rudy Gobert,76,2593,285,697,982,3.75,9.171052631578947,12.921052631578947,3.9568067875048207,9.676822213652141,13.633629001156962
2023-24,Regular Season,Anthony Davis,76,2700,239,722,961,3.1447368421052633,9.5,12.644736842105264,3.186666666666667,9.626666666666667,12.813333333333333
2023-24,Regular Season,Nikola Jokić,79,2737,223,753,976,2.8227848101265822,9.531645569620252,12.354430379746836,2.9331384727804166,9.904274753379612,12.837413226160029
2023-24,Regular Season,Jalen Duren,61,1777,192,517,709,3.1475409836065573,8.475409836065573,11.62295081967213,3.8897017445132245,10.473832301631964,14.363534046145189
2023-24,Regular Season,Giannis Antetokounmpo,73,2567,196,645,841,2.684931506849315,8.835616438356164,11.520547945205479,2.7487339306583563,9.04557849629918,11.794312426957537
2023-24,Regular Season,Deandre Ayton,55,1783,176,433,609,3.2,7.872727272727273,11.072727272727272,3.5535614133482896,8.742568704430735,12.296130117779024
2023-24,Regular Season,Joel Embiid,39,1309,95,335,430,2.4358974358974357,8.58974358974359,11.025641025641026,2.612681436210848,9.213139801375094,11.825821237585943
2023-24,Regular Season,Jusuf Nurkić,76,2078,224,613,837,2.9473684210526314,8.06578947368421,11.013157894736842,3.8806544754571703,10.61982675649663,14.500481231953803
2023-24,Regular Season,Victor Wembanyama,71,2106,161,594,755,2.267605633802817,8.366197183098592,10.633802816901408,2.752136752136752,10.153846153846153,12.905982905982906
2024-25,Regular Season,Domantas Sabonis,70,2429,267,705,972,3.8142857142857145,10.071428571428571,13.885714285714286,3.9571840263482914,10.448744339234253,14.405928365582545
2024-25,Regular Season,Karl-Anthony Towns,72,2517,212,708,920,2.9444444444444446,9.833333333333334,12.777777777777779,3.032181168057211,10.126340882002385,13.158522050059595
2024-25,Regular Season,Nikola Jokić,70,2571,200,692,892,2.857142857142857,9.885714285714286,12.742857142857142,2.8004667444574096,9.689614935822638,12.490081680280047
2024-25,Regular Season,Ivica Zubac,80,2624,300,710,1010,3.75,8.875,12.625,4.115853658536586,9.740853658536585,13.85670731707317
2024-25,Regular Season,Walker Kessler,58,1740,266,441,707,4.586206896551724,7.603448275862069,12.189655172413794,5.503448275862069,9.124137931034483,14.627586206896552
