Year,Season Type,PLAYER,TEAM,GP,MIN,PTS,PPG,TeamPTS,TeamPPG_proxy,ScoringLoadPct,ScoringLoad_PG,FGA,FG3A,FTA,EFF
2024-25,Regular Season,Shai Gilgeous-Alexander,OKC,76,2598,2484,32.68421052631579,8865,13.722910216718267,28.02030456852792,238.17258883248726,1656,435,669,2510
2024-25,Regular Season,LaMelo Ball,CHA,47,1505,1184,25.19148936170213,6788,11.182866556836903,17.442545668827343,225.26862172294037,1003,528,229,1029
2024-25,Regular Season,Giannis Antetokounmpo,MIL,67,2289,2036,30.388059701492537,9309,13.750369276218612,21.871307336985712,220.99813533043772,1319,63,707,2400
2024-25,Regular Season,Cade Cunningham,DET,70,2452,1830,26.142857142857142,9810,11.833534378769603,18.654434250764528,220.92179991262557,1457,418,370,1878
2024-25,Regular Season,Stephen Curry,GSW,70,2252,1718,24.542857142857144,7888,11.236467236467236,21.779918864097365,218.42147203709072,1258,784,299,1645
2024-25,Regular Season,Cam Thomas,BKN,25,781,599,23.96,7135,11.307448494453249,8.395234758234057,211.8957252978276,454,195,151,458
2024-25,Regular Season,Kevin Durant,PHX,62,2265,1647,26.56451612903226,8392,12.562874251497005,19.625834127740703,211.45253544081925,1124,372,361,1631
2024-25,Regular Season,Luka Dončić,LAL,50,1769,1408,28.16,7781,13.461937716262975,18.095360493509833,209.18236730497367,1025,481,395,1481
2024-25,Regular Season,Tyrese Maxey,PHI,52,1960,1369,26.326923076923077,7007,12.602517985611511,19.537605251890966,208.90208692406495,1091,478,289,1199
2024-25,Regular Season,Devin Booker,PHX,75,2795,1923,25.64,8392,12.562874251497005,22.914680648236416,204.09342230695904,1420,551,483,1803
2024-25,Regular Season,Zion Williamson,NOP,30,857,737,24.566666666666666,7654,12.072555205047319,9.62895218186569,203.49185611009494,508,13,241,783
2024-25,Regular Season,Tyler Herro,MIA,77,2725,1840,23.896103896103895,9262,11.76874205844981,19.86611962858994,203.04722269740623,1378,670,327,1784
2024-25,Regular Season,Paolo Banchero,ORL,46,1582,1191,25.891304347826086,7689,12.793677204658902,15.489660554038236,202.37578245602128,911,272,385,1079
2024-25,Regular Season,Coby White,CHI,74,2450,1509,20.39189189189189,8713,10.143189755529686,17.31894869734879,201.04022879760285,1121,584,307,1377
2024-25,Regular Season,Ja Morant,MEM,50,1519,1159,23.18,8675,11.566666666666666,13.360230547550433,200.40345821325647,889,285,319,1075
2024-25,Regular Season,Jayson Tatum,BOS,72,2624,1932,26.833333333333332,9120,13.797276853252647,21.184210526315788,194.4828216374269,1465,728,440,2006
2024-25,Regular Season,Trae Young,ATL,76,2739,1841,24.223684210526315,8854,12.541076487252125,20.792861983284393,193.15474421314184,1376,642,561,1825
2024-25,Regular Season,Anthony Edwards,MIN,79,2871,2177,27.556962025316455,8547,14.316582914572864,25.470925470925472,192.48281653344947,1612,811,496,1907
2024-25,Regular Season,Jaren Jackson Jr.,MEM,74,2207,1641,22.175675675675677,8675,11.566666666666666,18.9164265129683,191.72053898278685,1213,389,398,1550
2024-25,Regular Season,Franz Wagner,ORL,60,2023,1449,24.15,7689,12.793677204658902,18.845103394459617,188.7651190011705,1161,352,311,1369
