Year,Season Type,PLAYER,TEAM,GP,MIN,PTS,PPG,TeamPTS,TeamPPG_proxy,ScoringLoadPct,ScoringLoad_PG,FGA,FG3A,FTA,EFF
2024-25,Regular Season,Shai Gilgeous-Alexander,OKC,76,2598,2484,32.68421052631579,8865,13.722910216718267,28.02030456852792,238.17258883248726,1656,435,669,2510
2024-25,Regular Season,Anthony Edwards,MIN,79,2871,2177,27.556962025316455,8547,14.316582914572864,25.470925470925472,192.48281653344947,1612,811,496,1907
2024-25,Regular Season,Nikola Jokić,DEN,70,2571,2071,29.585714285714285,9004,16.31159420289855,23.000888494002666,181.37843498127816,1364,331,451,2953
2024-25,Regular Season,Devin Booker,PHX,75,2795,1923,25.64,8392,12.562874251497005,22.914680648236416,204.09342230695904,1420,551,483,1803
2024-25,Regular Season,James Harden,LAC,79,2789,1802,22.810126582278482,8091,13.242225859247135,22.271659868990238,172.252964303203,1295,668,578,1940
2024-25,Regular Season,LeBron James,LAL,70,2444,1710,24.428571428571427,7781,13.461937716262975,21.97660969027117,181.4640057282391,1270,396,331,1989
2024-25,Regular Season,Giannis Antetokounmpo,MIL,67,2289,2036,30.388059701492537,9309,13.750369276218612,21.871307336985712,220.99813533043772,1319,63,707,2400
2024-25,Regular Season,Stephen Curry,GSW,70,2252,1718,24.542857142857144,7888,11.236467236467236,21.779918864097365,218.42147203709072,1258,784,299,1645
2024-25,Regular Season,Jayson Tatum,BOS,72,2624,1932,26.833333333333332,9120,13.797276853252647,21.184210526315788,194.4828216374269,1465,728,440,2006
2024-25,Regular Season,Jalen Green,HOU,82,2697,1723,21.01219512195122,8242,13.99320882852292,20.90512011647658,150.15994815371593,1437,661,336,1385
2024-25,Regular Season,Trae Young,ATL,76,2739,1841,24.223684210526315,8854,12.541076487252125,20.792861983284393,193.15474421314184,1376,642,561,1825
2024-25,Regular Season,Karl-Anthony Towns,NYK,72,2517,1759,24.430555555555557,8766,15.570159857904086,20.06616472735569,156.90626029862855,1215,338,409,2184
2024-25,Regular Season,Tyler Herro,MIA,77,2725,1840,23.896103896103895,9262,11.76874205844981,19.86611962858994,203.04722269740623,1378,670,327,1784
2024-25,Regular Season,Jordan Poole,WAS,68,2001,1391,20.455882352941178,7013,11.747068676716918,19.83459289890204,174.13605824477233,1057,622,274,1174
2024-25,Regular Season,Kevin Durant,PHX,62,2265,1647,26.56451612903226,8392,12.562874251497005,19.625834127740703,211.45253544081925,1124,372,361,1631
2024-25,Regular Season,Tyrese Maxey,PHI,52,1960,1369,26.326923076923077,7007,12.602517985611511,19.537605251890966,208.90208692406495,1091,478,289,1199
2024-25,Regular Season,Jalen Brunson,NYK,65,2301,1690,26.0,8766,15.570159857904086,19.279032626055212,166.9860825918321,1200,397,448,1561
2024-25,Regular Season,Miles Bridges,CHA,64,2029,1300,20.3125,6788,11.182866556836903,19.15144372421921,181.63947407189158,1089,450,254,1329
2024-25,Regular Season,Austin Reaves,LAL,73,2550,1475,20.205479452054796,7781,13.461937716262975,18.95643233517543,150.09339574974518,1037,531,366,1546
2024-25,Regular Season,Jaren Jackson Jr.,MEM,74,2207,1641,22.175675675675677,8675,11.566666666666666,18.9164265129683,191.72053898278685,1213,389,398,1550
