PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Nikola Jokić,DEN,70,2571,2071,12.742857142857142,10.228571428571428,1.8142857142857143,0.6428571428571429,25.428571428571423,12.490081680280047,10.025670945157527,1.7782963827304552,0.6301050175029171,24.924154025670948
Domantas Sabonis,SAC,70,2429,1337,13.885714285714286,6.042857142857143,0.6857142857142857,0.37142857142857144,20.985714285714288,14.405928365582545,6.269246603540552,0.7114038699053108,0.3853437628653767,21.771922601893785
Giannis Antetokounmpo,MIL,67,2289,2036,11.91044776119403,6.462686567164179,0.8656716417910447,1.164179104477612,20.402985074626866,12.550458715596331,6.809960681520314,0.9121887287024902,1.2267365661861076,21.49934469200524
Victor Wembanyama,SAS,46,1527,1116,11.0,3.652173913043478,1.1304347826086956,3.8260869565217392,19.608695652173914,11.929273084479371,3.9607072691552063,1.225933202357564,4.149312377210216,21.265225933202355
Isaiah Hartenstein,OKC,57,1590,637,10.719298245614034,3.8421052631578947,0.8245614035087719,1.087719298245614,16.473684210526315,13.833962264150944,4.958490566037736,1.0641509433962264,1.4037735849056603,21.260377358490565
Kevon Looney,GSW,76,1142,344,6.078947368421052,1.5526315789473684,0.6052631578947368,0.4868421052631579,8.723684210526315,14.563922942206656,3.719789842381786,1.4500875656742558,1.1663747810858143,20.90017513134851
Jonas Valančiūnas,SAC,81,1524,843,7.7407407407407405,2.0246913580246915,0.4567901234567901,0.5679012345679012,10.790123456790123,14.811023622047244,3.874015748031496,0.8740157480314961,1.0866141732283465,20.645669291338585
Jalen Duren,DET,78,2034,918,10.346153846153847,2.6794871794871793,0.6923076923076923,1.141025641025641,14.858974358974358,14.283185840707965,3.6991150442477876,0.9557522123893805,1.5752212389380529,20.513274336283185
Charles Bassey,SAS,36,376,157,4.222222222222222,0.4722222222222222,0.3888888888888889,0.8333333333333334,5.916666666666667,14.553191489361701,1.6276595744680853,1.3404255319148937,2.872340425531915,20.393617021276597
Josh Giddey,CHI,70,2117,1022,8.085714285714285,7.185714285714286,1.2,0.6428571428571429,17.114285714285714,9.624940954180444,8.553613604156824,1.428436466698158,0.7652338214454416,20.37222484648087
Donovan Clingan,POR,67,1324,436,7.865671641791045,1.1492537313432836,0.5074626865671642,1.6417910447761195,11.164179104477613,14.32930513595166,2.093655589123867,0.9244712990936557,2.990936555891239,20.338368580060422
Walker Kessler,UTA,58,1740,641,12.189655172413794,1.6724137931034482,0.6206896551724138,2.3793103448275863,16.862068965517242,14.627586206896552,2.006896551724138,0.7448275862068965,2.855172413793104,20.23448275862069
Steven Adams,HOU,58,794,225,5.637931034482759,1.1379310344827587,0.3793103448275862,0.4827586206896552,7.637931034482759,14.826196473551638,2.9924433249370272,0.9974811083123426,1.269521410579345,20.08564231738035
Day'Ron Sharpe,BKN,50,907,397,6.6,1.82,0.82,0.84,10.08,13.098125689084894,3.6119073869900773,1.627342888643881,1.667034178610805,20.004410143329658
Jaylin Williams,OKC,47,784,278,5.574468085106383,2.5531914893617023,0.46808510638297873,0.6170212765957447,9.212765957446809,12.03061224489796,5.510204081632653,1.010204081632653,1.3316326530612246,19.88265306122449
Jusuf Nurkić,CHA,51,1063,453,7.803921568627451,2.2549019607843137,0.7843137254901961,0.6666666666666666,11.509803921568627,13.478833490122296,3.894637817497648,1.3546566321730948,1.1514581373471309,19.87958607714017
Anthony Davis,DAL,51,1705,1261,11.568627450980392,3.549019607843137,1.1568627450980393,2.156862745098039,18.431372549019606,12.457478005865104,3.821700879765396,1.2457478005865104,2.32258064516129,19.847507331378303
DeAndre Jordan,DEN,56,691,209,5.071428571428571,0.9464285714285714,0.2857142857142857,0.48214285714285715,6.785714285714285,14.795947901591896,2.7612156295224315,0.833574529667149,1.4066570188133138,19.79739507959479
Mark Williams,CHA,44,1171,671,10.159090909090908,2.477272727272727,0.7272727272727273,1.2272727272727273,14.590909090909088,13.742100768573868,3.350982066609735,0.9837745516652434,1.660119555935098,19.736976942783944
Elfrid Payton,NOP,24,511,85,3.2916666666666665,6.916666666666667,1.0,0.4583333333333333,11.666666666666668,5.5655577299412915,11.694716242661448,1.6908023483365948,0.7749510763209393,19.726027397260275
Alperen Sengun,HOU,76,2395,1451,10.342105263157896,4.894736842105263,1.105263157894737,0.8026315789473685,17.144736842105264,11.814613778705636,5.591649269311065,1.2626304801670145,0.9169102296450939,19.58580375782881
Andre Drummond,PHI,40,751,293,7.75,0.85,0.975,0.45,10.024999999999999,14.860186418109189,1.62982689747004,1.8695073235685753,0.862849533954727,19.222370173102533
Paul Reed,DET,45,438,184,2.7333333333333334,0.9777777777777777,0.8666666666666667,0.5555555555555556,5.133333333333333,10.10958904109589,3.6164383561643834,3.2054794520547945,2.054794520547945,18.986301369863014
Robert Williams III,POR,20,351,116,5.9,1.05,0.65,1.65,9.25,12.102564102564102,2.1538461538461537,1.3333333333333333,3.3846153846153846,18.974358974358974
Clint Capela,ATL,55,1176,488,8.527272727272727,1.1272727272727272,0.6181818181818182,0.9636363636363636,11.236363636363636,14.357142857142858,1.8979591836734695,1.0408163265306123,1.6224489795918369,18.918367346938776
Ben Simmons,LAC,51,1120,256,4.7254901960784315,5.588235294117647,0.7450980392156863,0.45098039215686275,11.509803921568627,7.746428571428572,9.160714285714285,1.2214285714285713,0.7392857142857143,18.867857142857144
Goga Bitadze,ORL,70,1429,502,6.614285714285714,1.957142857142857,0.7,1.4,10.67142857142857,11.66410076976907,3.451364590622813,1.2344296710986704,2.468859342197341,18.818754373687895
Ivica Zubac,LAC,80,2624,1340,12.625,2.675,0.6875,1.125,17.1125,13.85670731707317,2.9359756097560976,0.7545731707317074,1.2347560975609757,18.78201219512195
Tristan Thompson,CLE,40,328,69,3.35,0.6,0.05,0.275,4.275,14.707317073170731,2.6341463414634143,0.21951219512195122,1.207317073170732,18.768292682926827
Zach Edey,MEM,66,1416,610,8.303030303030303,0.9848484848484849,0.5454545454545454,1.2878787878787878,11.12121212121212,13.932203389830509,1.652542372881356,0.9152542372881356,2.1610169491525424,18.661016949152543
Dereck Lively II,DAL,36,833,314,7.5,2.361111111111111,0.5555555555555556,1.5555555555555556,11.972222222222221,11.668667466986793,3.673469387755102,0.8643457382953181,2.4201680672268906,18.6266506602641
Mason Plumlee,PHX,74,1300,333,6.148648648648648,1.8108108108108107,0.44594594594594594,0.6351351351351351,9.04054054054054,12.6,3.710769230769231,0.9138461538461539,1.3015384615384615,18.526153846153846
