Year,Season_Type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
2020-21,Regular Season,1629628,29,RJ Barrett,1610612752,NYK,72,2511,467,1060,0.441,124,309,0.401,206,276,0.746,68,346,414,217,53,20,139,188,1264,1166,1.56,0.38
2020-21,Regular Season,1630162,23,Anthony Edwards,1610612750,MIN,72,2314,505,1211,0.417,171,520,0.329,211,272,0.776,59,277,336,211,82,36,160,129,1392,1130,1.32,0.51
2020-21,Regular Season,1628969,60,Mikal Bridges,1610612756,PHX,72,2348,363,669,0.543,134,315,0.425,110,131,0.84,76,233,309,152,76,63,57,116,970,1186,2.67,1.33
2020-21,Regular Season,202711,34,Bojan Bogdanovic,1610612762,UTA,72,2216,406,925,0.439,180,461,0.39,233,265,0.879,40,241,281,136,45,4,128,115,1225,1012,1.06,0.35
2020-21,Regular Season,1629130,65,Duncan Robinson,1610612748,MIA,72,2262,315,717,0.439,250,613,0.408,62,75,0.827,7,243,250,127,43,20,81,181,942,886,1.57,0.53
2020-21,Regular Season,1628407,109,Dwayne Bacon,1610612753,ORL,72,1853,292,726,0.402,59,207,0.285,145,176,0.824,31,193,224,93,45,5,46,103,788,644,2.02,0.98
2020-21,Regular Season,202683,101,Enes Freedom,1610612757,POR,72,1757,339,561,0.604,1,4,0.25,127,164,0.774,284,511,795,84,33,48,78,168,806,1429,1.08,0.42
2020-21,Regular Season,1627826,147,Ivica Zubac,1610612746,LAC,72,1609,257,394,0.652,1,4,0.25,135,171,0.789,189,330,519,90,24,62,81,187,650,1091,1.11,0.3
2020-21,Regular Season,203200,113,Justin Holiday,1610612754,IND,72,2183,258,625,0.413,173,453,0.382,67,85,0.788,32,224,256,119,74,41,54,135,756,807,2.2,1.37
2020-21,Regular Season,203999,3,Nikola Jokić,1610612743,DEN,72,2488,732,1293,0.566,92,237,0.388,342,394,0.868,205,575,780,599,95,48,222,192,1898,2585,2.7,0.43
2021-22,Regular Season,1626172,228,Kevon Looney,1610612744,GSW,82,1732,208,364,0.571,0,1,0.0,75,125,0.6,208,388,596,165,50,52,67,215,491,1081,2.46,0.75
2021-22,Regular Season,1630166,152,Deni Avdija,1610612764,WAS,82,1984,250,579,0.432,82,259,0.317,103,136,0.757,52,373,425,167,59,44,87,190,685,931,1.92,0.68
