Year,Season_Type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,playmaker_score
2024-25,Regular Season,203999,3,Nikola Jokić,1610612743,DEN,70,2571,786,1364,0.576,138,331,0.417,361,451,0.8,200,692,892,716,127,45,230,160,2071,2953,3.11,0.55,1795.6
2024-25,Regular Season,1629027,7,Trae Young,1610612737,ATL,76,2739,566,1376,0.411,218,642,0.34,491,561,0.875,36,200,236,880,91,12,355,145,1841,1825,2.48,0.26,1732.8000000000002
2024-25,Regular Season,1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,76,2598,860,1656,0.519,163,435,0.375,601,669,0.898,67,312,379,486,131,77,183,164,2484,2510,2.66,0.72,1723.1
2024-25,Regular Season,1630169,38,Tyrese Haliburton,1610612754,IND,73,2450,476,1006,0.473,218,562,0.388,189,222,0.851,42,216,258,673,105,49,120,92,1359,1761,5.61,0.88,1565.1
2024-25,Regular Season,1626164,6,Devin Booker,1610612756,PHX,75,2795,654,1420,0.461,183,551,0.332,432,483,0.894,76,229,305,529,67,16,220,198,1923,1803,2.4,0.3,1449.0
2024-25,Regular Season,201935,10,James Harden,1610612746,LAC,79,2789,531,1295,0.41,235,668,0.352,505,578,0.874,55,401,456,687,118,55,341,162,1802,1940,2.02,0.35,1440.2
2024-25,Regular Season,1630595,9,Cade Cunningham,1610612765,DET,70,2452,684,1457,0.469,149,418,0.356,313,370,0.846,56,369,425,638,71,53,309,195,1830,1878,2.06,0.23,1429.1
2024-25,Regular Season,203507,4,Giannis Antetokounmpo,1610612749,MIL,67,2289,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,58,78,206,155,2036,2400,2.1,0.28,1379.5
2024-25,Regular Season,2544,15,LeBron James,1610612747,LAL,70,2444,651,1270,0.513,149,396,0.376,259,331,0.782,72,474,546,575,70,39,260,99,1710,1989,2.21,0.27,1349.6
2024-25,Regular Season,1628973,18,Jalen Brunson,1610612752,NYK,65,2301,585,1200,0.488,152,397,0.383,368,448,0.821,27,160,187,475,60,8,164,138,1690,1561,2.9,0.37,1340.5
