PLAYER,TEAM,GP,MIN,AST,TOV,TOV_per36,AST_TOV_ratio
Tyrese Haliburton,IND,73,2450,673,120,1.7632653061224488,5.608333333333333
Tre Jones,CHI,46,905,192,35,1.3922651933701657,5.485714285714286
Jeff Dowtin Jr.,PHI,41,621,78,15,0.8695652173913043,5.2
Tyus Jones,PHX,81,2174,429,91,1.5068997240110396,4.714285714285714
Chris Paul,SAS,82,2292,605,129,2.026178010471204,4.689922480620155
Collin Gillespie,PHX,33,461,78,17,1.3275488069414316,4.588235294117647
Kyle Lowry,PHI,35,659,96,21,1.1471927162367224,4.571428571428571
Miles McBride,NYK,64,1593,187,41,0.9265536723163842,4.560975609756097
Jalen Pickett,DEN,49,666,107,24,1.2972972972972974,4.458333333333333
Mike Conley,MIN,71,1756,319,75,1.5375854214123006,4.253333333333333
Jimmy Butler III,GSW,55,1746,298,74,1.5257731958762888,4.027027027027027
Cory Joseph,ORL,50,612,72,18,1.0588235294117647,4.0
Kyle Anderson,MIA,61,1002,145,37,1.3293413173652693,3.918918918918919
Cameron Payne,NYK,72,1090,203,52,1.7174311926605506,3.9038461538461537
Ben Sheppard,IND,63,1230,85,22,0.6439024390243903,3.8636363636363638
