PLAYER,TEAM,GP,MIN,AST,TOV,TOV_per36,AST_TOV_ratio
Dominick Barlow,ATL,35,375,19,5,0.48000000000000004,3.8
Sam Hauser,BOS,71,1541,64,23,0.5373134328358209,2.782608695652174
Jaylen Clark,MIN,40,522,26,8,0.5517241379310345,3.25
Caleb Houstan,ORL,58,788,35,13,0.5939086294416244,2.6923076923076925
Doug McDermott,SAC,42,342,7,6,0.631578947368421,1.1666666666666667
Dean Wade,CLE,59,1253,76,22,0.6320830007980845,3.4545454545454546
Ben Sheppard,IND,63,1230,85,22,0.6439024390243903,3.8636363636363638
Cam Reddish,LAL,33,589,22,12,0.733446519524618,1.8333333333333333
Isaac Okoro,CLE,55,1053,68,23,0.7863247863247863,2.9565217391304346
Gary Trent Jr.,MIL,74,1893,87,42,0.7987321711568939,2.0714285714285716
Tim Hardaway Jr.,DET,77,2153,123,48,0.8026010218300047,2.5625
Harrison Barnes,SAS,82,2230,136,50,0.8071748878923767,2.72
Jeff Green,HOU,32,396,20,9,0.8181818181818182,2.2222222222222223
Luke Kornet,BOS,73,1361,117,31,0.8199853049228509,3.774193548387097
Keegan Murray,SAC,76,2610,109,60,0.8275862068965517,1.8166666666666667
