PLAYER,TEAM,GP,MIN,AST,TOV,TOV_per36,AST_TOV_ratio
Trae Young,ATL,76,2739,880,355,4.665936473165389,2.4788732394366195
Cade Cunningham,DET,70,2452,638,309,4.536704730831974,2.0647249190938513
James Harden,LAC,79,2789,687,341,4.401577626389386,2.0146627565982405
Ja Morant,MEM,50,1519,364,185,4.384463462804477,1.9675675675675677
Russell Westbrook,DEN,75,2092,457,242,4.164435946462715,1.8884297520661157
Elfrid Payton,NOP,24,511,166,59,4.156555772994129,2.8135593220338984
Isaiah Collier,UTA,71,1839,446,208,4.071778140293638,2.144230769230769
LaMelo Ball,CHA,47,1505,346,167,3.99468438538206,2.07185628742515
LeBron James,LAL,70,2444,575,260,3.8297872340425534,2.2115384615384617
Zion Williamson,NOP,30,857,159,90,3.7806301050175026,1.7666666666666666
Dejounte Murray,NOP,31,1012,228,106,3.770750988142293,2.150943396226415
Rob Dillingham,MIN,49,516,98,53,3.697674418604651,1.849056603773585
Jordan Poole,WAS,68,2001,303,204,3.6701649175412294,1.4852941176470589
Jalen Suggs,ORL,35,1002,129,102,3.6646706586826348,1.2647058823529411
Luka Dončić,LAL,50,1769,383,179,3.642736009044658,2.1396648044692737
